time,Zeespiegelmonitor,Trend Zeespiegelmonitor,ssp126_5pc,ssp126_50pc,ssp126_95pc,ssp245_5pc,ssp245_50pc,ssp245_95pc,ssp585_5pc,ssp585_50pc,ssp585_95pc
2028,,,6.222850193967447,12.01834856844253,19.419347215345724,6.245308679677078,12.36269991645516,20.523893732444325,6.341615968441325,12.807842735103396,22.40530513523164
2029,,,6.546786746061147,12.661474140650006,20.428850113213013,6.45685026159203,12.880307785154464,21.427007921618646,6.489112809506783,12.869149885054497,22.7781570354574
2030,,,6.467724415393719,13.071043760686292,21.3004267695369,6.3020415162600125,13.091235461452749,22.052072068156853,6.930686761734541,13.72153374276563,24.10644860224005
2031,,,6.504443134406601,13.263662195939467,21.768777929059976,6.391150385955121,13.480241482331483,22.822502577751578,7.378223533320559,14.42739298385072,25.236271572174363
2032,,,6.561582413591714,13.542910760275204,22.3606695187376,7.808285642815425,14.232027153512067,23.5142252954809,7.939959826743457,15.412421433292295,26.700648322074535
2033,,,7.274217346513043,14.158562333854437,23.118929176779343,8.027036797854418,14.818037245623405,24.505460521020805,7.901770173454021,15.749321624757954,27.500906020600926
2034,,,7.50277717154984,14.560642450461597,23.80878671457417,8.284770323987853,15.324576945458258,25.36924114783532,8.404527300940398,16.43732590249742,28.590155136719908
2035,,,8.243661623795091,15.42777008954199,24.942235742993372,8.455753301911024,15.959702130818869,26.452086688201376,9.076555213240628,17.226846602468967,29.75599286075249
2036,,,8.504097230804433,16.038020761347074,25.93450524030395,8.607226863801575,16.58618486833974,27.54097807473074,9.689513630825555,17.59587838034476,30.39927733764067
2037,,,9.554364565892042,16.574032276040608,26.466308712150784,9.010344225943024,17.042136844605068,28.26577876428176,10.601354524591938,18.755899303153328,31.98152662317112
2038,,,10.014983531002763,17.494779479929093,27.798003474228757,9.852484167854808,17.73151201295846,29.14449030397849,10.722213022993474,19.017899514422773,32.63535245788104
2039,,,10.390257200343727,18.190629837335187,28.854162802072327,10.509520862915801,18.330773359779432,29.996592913249245,10.784763811821913,19.44264664386205,33.5150606343683
2040,,,9.680283870977554,18.156522877465544,29.338414873611246,10.602355641554178,19.182851296187554,31.391813256203058,11.271287263213749,20.20763331086123,34.71099438905212
2041,,,10.479703336906134,19.05907637643034,30.5038160611426,10.675190961253307,19.389995404317705,31.91347008049889,12.071171974159071,21.355335838354414,36.306333290001014
2042,,,10.810951741125923,19.573641316322558,31.31973514598426,10.763447443256917,19.955898912463592,32.935114253084414,12.324523615055536,22.26522246249648,37.76327163267613
2043,,,11.336167977755936,20.156609808955686,32.150157643668884,11.827304849006739,20.65085276599779,33.748648301218886,12.896858300493463,22.399474165699743,38.12218649802909
2044,,,11.90997180297811,20.9323119480022,33.22994761873508,11.958214325280872,21.260763614538337,34.79801187063471,13.437918014706968,23.454062815381537,39.66908377954009
2045,,,12.074291629312787,21.426727254469107,34.091576625004805,12.541073427207436,22.406304490384706,36.42276385534533,13.594983684054556,24.23252206910523,40.97486911480815
2046,,,12.42851741580077,22.106453912772825,35.13708185890393,13.162322166502967,23.040994732142806,37.32455331275563,14.179537195916595,24.989094385430235,42.13592386625111
2047,,,12.861008118851954,22.4903120371486,35.71486345704564,13.60041620247822,23.217881035511084,37.6781412388041,14.873177304498167,25.74467971184398,43.25793299602654
2048,,,12.992733301906894,23.08615812336652,36.73714977049191,14.47834910164644,24.128815754016575,38.87614048480597,15.194492825479323,26.305376367845902,44.23976845229767
2049,,,13.165206869592101,23.06220693541475,36.854699933964945,14.563243215772339,24.893337551961544,40.13928200386297,15.480304944992966,27.11286346815563,45.547235904295704
2050,,,13.806603315601675,24.113731935856876,38.29981007203308,15.082145051155113,25.81854182386325,41.47907960719092,16.471431289322666,28.437182091732048,47.32287869004483
2051,,,14.522721665963608,24.8183939958168,39.2259759983985,15.549113618268947,26.189613853729014,42.08583982081967,16.875162074833664,28.651593143204416,47.83226691127144
2052,,,13.846913962263523,24.784240847579632,39.68419116649027,16.404294916007903,26.974101250820677,43.122916079807354,17.393009527932218,29.37650388097205,48.96981265229813
2053,,,13.946033175977089,25.465536690689316,40.83481906134896,17.154275640419037,28.156660187432358,44.724416622171866,18.060464096826696,30.39599235549783,50.44091436240362
2054,,,14.668235208402688,26.37947162764298,42.05674733670906,17.23270772343496,28.682179744248998,45.67689227873842,18.68283900852378,31.277230564566942,51.74429411958552
2055,,,15.277610852010756,27.046912262348,42.973274744190746,17.65017027257213,29.309020599419455,46.64427535488936,19.766681385185002,32.43900590040039,53.27786693558709
2056,,,15.643381196813483,27.71501629940857,43.99431586146966,18.369621476785387,29.79141357525957,47.32812337286439,20.295399424178843,32.94063054983465,54.14439772717038
2057,,,15.786073779471103,28.109979415024878,44.718267339161414,18.975498011901777,30.548917166137755,48.40518983080807,20.849438934739602,33.844051247188936,55.49296339504991
2058,,,16.259144149558523,28.531398841399657,45.33955703112117,18.99643463692627,31.274328746342434,49.64114902028659,21.180910797292633,34.71894090545069,56.8588201113434
2059,,,16.741663971271414,28.966682217358102,45.97160963077758,18.80695841285676,31.4224889146184,50.17686968821794,21.20262639614526,35.061083913567764,57.63750239275411
2060,,,17.520397385705575,29.795697793967406,47.05209288816916,19.21250334176474,32.129107471295455,51.26045150625217,22.136377519983785,36.1673677643835,59.150078889875466
2061,,,17.97688363980647,30.457641587750786,48.026919931803185,19.70085086828239,32.78401712910965,52.24217551354067,23.161120320801775,37.357936434250135,60.74364175918478
2062,,,17.553497867032796,30.690933544953992,48.759968689278836,20.431748994946012,33.698896725909925,53.49075017655841,23.75193668349297,38.11798854223964,61.91046126339447
2063,,,18.332545266780752,31.385335375852584,49.63636678819876,21.348584861900505,34.75159991027559,54.8623635327519,23.969357008484277,38.88789152274455,63.18247270878916
2064,,,18.699276830747237,32.144646134305155,50.78454445725171,21.35533012079884,35.13913117367749,55.65545758626519,25.10661364117279,40.01140356945399,64.65975539194393
2065,,,19.563404139933443,33.151214494759884,52.07735834051691,21.326655609471064,35.64219025255119,56.61575114441396,25.854992659826248,40.952624686122746,66.00827824685186
2066,,,19.935773935445933,33.4260544070359,52.549000142665975,21.990951973548537,36.59785773140275,57.94514117463256,25.799978166196745,41.66074038174394,67.27454535736908
2067,,,19.888173497831975,33.74124034365356,53.23317169846656,22.636332383522202,37.58223491003329,59.31950680965593,26.581173560911946,42.74184737653918,68.7948146741371
2068,,,20.3431893611076,34.436073092443124,54.25284177647449,23.206363513145266,38.265331188971665,60.31050158324792,28.001909059895752,43.936872080131856,70.28000927864633
2069,,,21.110646698713847,35.31729890882474,55.41274004317003,24.297635284001213,38.858130303351444,61.00351209252365,28.56390186946864,44.65635417472677,71.40056854517408
2070,,,21.346649564089404,35.62749609867622,55.98265476436636,24.551723017748557,39.356909201810005,61.85883043390021,29.56324489210433,45.561087585999765,72.65771527234087
2071,,,21.267485540244476,36.009024372653755,56.7739668956081,24.735827221219807,40.17030420506311,63.158313188312476,30.17464041136924,46.60301914751053,74.16195927901028
2072,,,21.472780501794013,36.420955688211386,57.49807987591063,25.491415106947514,41.01992279657184,64.31653294363922,30.858372364233908,47.70971134991068,75.72852093272917
2073,,,21.425307463878976,36.933256690787715,58.463989051125495,25.83898508891489,41.48694581568377,65.09160613092949,32.07529776371793,49.025367846093516,77.43914721361406
2074,,,21.680337412622066,37.31184811789701,59.118597177939186,26.37928854848341,42.24612631427198,66.19557149168311,32.70549950260171,50.10155508217424,78.97798185151689
2075,,,22.391407299242058,37.86108665692132,59.83571660134928,26.864520707341686,42.76368433358501,66.9944230339113,32.92795831951753,51.225733187197356,80.70955820461994
2076,,,23.138047281107063,38.61939771901121,60.83868871276827,27.155474338881355,43.364501353692056,67.97861425739434,33.38305937356268,52.00851162864805,81.93356916019177
2077,,,23.59192842299176,39.35168402103266,61.903521033812545,27.53054230921813,43.545233726403886,68.37854793399923,34.05617604239412,52.94203011438629,83.29649533093564
2078,,,23.75118419693268,39.7727654807877,62.6610068703405,28.221874077685897,44.729760258404745,69.9860431981143,34.916386591913636,54.148758361294504,84.95488252537326
2079,,,23.950128049795783,40.33427784458989,63.587618656927916,28.811536064962134,45.62186255092109,71.2562087731064,35.76706075803555,55.1756317847522,86.38187249141018
2080,,,24.121878076484656,40.63866091707348,64.17848896647936,28.925319033068728,46.20151257527072,72.26946547515043,36.400787952032736,56.239430072050205,87.92220638837536
2081,,,24.47799100666276,41.24279972393104,65.1098484668278,29.184445882341603,46.47516506663392,72.81932845144088,37.405579126072894,57.50594070280124,89.6217306118081
2082,,,24.933029639880463,41.80872597228117,65.95280511047974,29.74829308568832,47.33981374150017,74.05916225326531,38.208103006505546,58.627307862609534,91.18699712554879
2083,,,25.156356882568247,42.28075264232804,66.75730813465808,30.398836088601925,48.0790935820621,75.10593829880628,39.2997855883491,59.87246771259589,92.82191296620672
2084,,,25.404640539201562,42.75270440160938,67.54779859689859,30.89207334869306,49.19760979357929,76.7086449967872,40.308294187605675,60.99885916337641,94.33744857157967
2085,,,25.673339260361445,43.326834013487236,68.47320529205972,31.37717062788112,49.81433859883522,77.64277838244433,41.13832793648352,62.255523355212546,96.06517168408817
2086,,,26.051901736513663,43.468003490732265,68.766082529264,32.40343493482798,50.74529060200971,78.81261123100818,41.91231918197782,63.47379479033458,97.7782032089303
2087,,,26.210097766263644,44.210439644029634,69.95394668833691,33.13349808319061,51.75495862611675,80.19126773516541,43.1592631283713,64.23656137993567,98.7340700639922
2088,,,26.38994787160123,44.75315226868892,70.86195099245728,33.820373439972876,52.15526060757799,80.78817272305318,43.7050219233102,65.52461394243035,100.59333444402303
2089,,,26.873138101318325,45.17838457824928,71.50785669910798,33.465258445707065,52.38511862971236,81.4717190543252,44.644783216403496,66.96633112920739,102.5449302797959
2090,,,26.918418295279274,45.62134169282265,72.32584482103789,34.36914142515822,53.42567012083503,82.8425246804714,45.88492091521659,68.48766960028365,104.50034424311384
2091,,,27.0320525901395,46.226927392610406,73.34019443501779,35.068067854421244,54.4026819554584,84.18368117451999,46.73590833188399,69.55929719978411,105.99209199515417
2092,,,27.32940965683284,46.89772385985554,74.38335144207925,35.197705962007504,54.92101326394475,85.09605636763423,47.32799415549362,70.64246850129898,107.56671633518276
2093,,,27.75721067757155,47.30851651008744,75.02774987023349,35.81911703066231,56.0333989167572,86.6525899874938,47.95607772628635,71.39986523936531,108.71814350623298
2094,,,28.403274776583913,47.86845373645289,75.80343680042618,36.33191278025936,56.484081959769426,87.35327880119884,49.05867727029026,72.91395627650539,110.70239819317923
2095,,,28.355107636724306,48.05290437475985,76.30249242066006,36.963497776920015,57.408991787992036,88.65165165209918,50.38770728191756,74.46751692418988,112.66808099403472
2096,,,28.699152904236726,48.43170982429005,76.93560687977758,37.54228003900318,58.12311900904159,89.68184942168807,51.75013074841347,75.80413657892258,114.3557877434729
2097,,,29.451888265711325,49.51357774052096,78.36841057639583,38.203315186356846,59.018290952077045,90.93045331843408,52.269548865815814,76.9502988195221,116.03372977775949
2098,,,29.514394731014495,49.8114831954,78.98871574353277,38.375997122337424,59.527422731058934,91.8259929820652,53.14511161483607,78.63351946608466,118.31286182146955
2099,,,29.61281840628064,50.448659994310326,80.05519507705544,38.88630871194378,60.35472684702064,93.03330246303535,53.6878381505521,79.5980881665902,119.75327737419762
2100,,,29.836999137043804,50.81286961437703,80.70703176559734,39.169095417531004,60.79350662684934,93.7998773033245,54.10242773144226,80.21524800083832,120.77897526878671
