t,year,height,station,u2,v2,surge_mm,height - surge,height - surge anomaly,psmsl_id,wind_variant
1995-01-01,1995.0,0.0,23,7.594569561968509,0.7231337275893402,50.858297244939,-50.858297244939,-2.3715058037573584,23,Combined
1996-01-01,1996.0,-110.0,23,-0.990270901018316,0.8824538866197243,-30.656519826868003,-79.343480173132,-30.856688731950356,23,Combined
1997-01-01,1997.0,-62.0,23,4.669957951946022,4.208533963874704,14.0847958854004,-76.0847958854004,-27.59800444421876,23,Combined
1998-01-01,1998.0,18.0,23,9.973237796484515,3.038883920279442,87.77602319541849,-69.77602319541849,-21.289231754236845,23,Combined
1999-01-01,1999.0,13.0,23,10.110546822475468,3.0341625444796683,81.210013782631,-68.210013782631,-19.72322234144935,23,Combined
2000-01-01,2000.0,11.0,23,9.257246607923184,9.211352723716514,73.631574530816,-62.631574530815996,-14.144783089634352,23,Combined
2001-01-01,2001.0,10.0,23,6.036207041219325,2.3643659821694856,55.7179974513255,-45.7179974513255,2.7687939898561424,23,Combined
2002-01-01,2002.0,-2.0,23,5.418190274830521,5.158049118680559,28.8847414927384,-30.8847414927384,17.602049948443245,23,Combined
2003-01-01,2003.0,-12.0,23,2.419014213544122,1.9189583589505352,14.6890245569385,-26.6890245569385,21.797766884243146,23,Combined
2004-01-01,2004.0,20.0,23,8.325005684333773,2.383694017824902,62.725718778206904,-42.725718778206904,5.76107266297474,23,Combined
2005-01-01,2005.0,-7.0,23,7.103911806763492,0.6315093289298014,43.1160818281494,-50.1160818281494,-1.629290386967753,23,Combined
2006-01-01,2006.0,-5.0,23,6.133688425329346,4.532461246549129,50.4213964132821,-55.4213964132821,-6.934604972100459,23,Combined
2007-01-01,2007.0,42.0,23,10.287087773154333,1.2027071311573228,73.6638837965996,-31.663883796599606,16.82290764458204,23,Combined
2008-01-01,2008.0,17.0,23,8.021731982049706,5.390207896976244,70.6112475147632,-53.61124751476321,-5.1244560735815625,23,Combined
2009-01-01,2009.0,-17.0,23,5.088302778325098,5.315204816749646,40.5474482691043,-57.5474482691043,-9.060656827922656,23,Combined
2010-01-01,2010.0,-30.0,23,1.7123364539897452,-1.4173802554506822,19.4454676560955,-49.4454676560955,-0.9586762149138544,23,Combined
2011-01-01,2011.0,17.0,23,9.094102214995063,4.225602709915997,60.245877190665205,-43.245877190665205,5.24091425051644,23,Combined
2012-01-01,2012.0,2.0,23,6.817775557899332,3.249123614058629,48.665117966062,-46.665117966062,1.8216734751196455,23,Combined
2013-01-01,2013.0,-27.0,23,2.2286573882636183,3.1738268224327997,20.0606932123638,-47.0606932123638,1.4260982288178425,23,Combined
2014-01-01,2014.0,6.0,23,5.1230148553810215,11.433273691473225,47.9390148175497,-41.9390148175497,6.547776623631947,23,Combined
2015-01-01,2015.0,36.0,23,12.157924985711569,6.5589199159702245,71.6218935019553,-35.6218935019553,12.864897939226346,23,Combined
2016-01-01,2016.0,17.0,23,4.917602946504256,2.520683761591421,27.1783694128704,-10.1783694128704,38.30842202831124,23,Combined
2017-01-01,2017.0,56.0,23,11.298989002735807,2.050601405920644,69.6655586719104,-13.665558671910404,34.82123276927124,23,Combined
2018-01-01,2018.0,-11.0,23,4.296787086005178,2.2087670066942193,6.176511453439099,-17.176511453439097,31.310279987742547,23,Combined
2019-01-01,2019.0,71.0,23,7.962882474244295,4.212188017940861,58.190230172995,12.809769827004999,61.29656126818664,23,Combined
2020-01-01,2020.0,70.0,23,9.839989558187453,6.934233561610111,60.040710473724396,9.959289526275604,58.44608096745725,23,Combined
2021-01-01,2021.0,42.0,23,4.8222716459912105,0.25504865209428623,33.3276962529714,8.6723037470286,57.159095188210244,23,Combined
1865-01-01,1865.0,-170.0,24,1.8158089484240356,0.7786129696118312,61.021820132278535,-231.02182013227855,-170.0,24,Combined
1866-01-01,1866.0,-77.0,24,10.198142986940285,0.46958716858401206,61.021820132278535,-138.02182013227855,-77.00000000000001,24,Combined
1867-01-01,1867.0,-54.0,24,2.4668397705665304,-1.3156613361063456,61.021820132278535,-115.02182013227853,-54.000000000000014,24,Combined
1868-01-01,1868.0,-88.0,24,9.412531816708173,1.3643178508621858,61.021820132278535,-149.02182013227855,-88.00000000000001,24,Combined
1869-01-01,1869.0,-71.0,24,9.392966417030484,-1.3158058904539776,61.021820132278535,-132.02182013227855,-71.00000000000001,24,Combined
1870-01-01,1870.0,-165.0,24,2.4703938000579573,-0.31085242606283553,61.021820132278535,-226.02182013227855,-165.0,24,Combined
1871-01-01,1871.0,-153.0,24,3.2091168769340315,0.30667297531850585,61.021820132278535,-214.02182013227855,-153.0,24,Combined
1872-01-01,1872.0,-117.0,24,6.12129824915045,6.921573671569267,61.021820132278535,-178.02182013227855,-117.00000000000001,24,Combined
1873-01-01,1873.0,-86.0,24,6.0591441915148065,1.2700966962472975,61.021820132278535,-147.02182013227855,-86.00000000000001,24,Combined
1874-01-01,1874.0,-74.0,24,6.989059403890423,0.4230741541577428,61.021820132278535,-135.02182013227855,-74.00000000000001,24,Combined
1875-01-01,1875.0,-161.0,24,0.14623765227671726,0.7942466351533298,61.021820132278535,-222.02182013227855,-161.0,24,Combined
1876-01-01,1876.0,-130.0,24,1.1272599769931573,0.30693973490109155,61.021820132278535,-191.02182013227855,-130.0,24,Combined
1877-01-01,1877.0,17.0,24,7.227328361018155,1.665103860352534,61.021820132278535,-44.021820132278535,16.999999999999986,24,Combined
