,name,names,wind_variant,model_variant,quantity,psmsl_id,aic,F,df_model,has_tide,has_wind,+trend (1993),Acceleration,Acceleration from 1960,Constant,Constant (in year 1960),Constant (in year 1970),Nodal U,Nodal V,Trend,Wind $u^2$,Wind $v^2$,p-+trend (1993),p-Acceleration,p-Acceleration from 1960,p-Constant,p-Constant (in year 1960),p-Constant (in year 1970),p-Nodal U,p-Nodal V,p-Trend,p-Wind $u^2$,p-Wind $v^2$,se-+trend (1993),se-Acceleration,se-Acceleration from 1960,se-Constant,se-Constant (in year 1960),se-Constant (in year 1970),se-Nodal U,se-Nodal V,se-Trend,se-Wind $u^2$,se-Wind $v^2$
13,Hoek van Holland,"['Constant', 'Trend', '+trend (1993)', 'Nodal U', 'Nodal V']",NCEP1,broken_linear,height - surge anomaly,22,1241.6391624576254,385.56569890260886,4.0,True,False,0.8602163707263165,,,-11.41529152234839,,,0.5704630251759235,-9.71531027022714,2.2690657689287614,,,0.05707542559457667,,,0.014032115538620177,,,0.904704710132447,0.03146725871501369,4.742573332381897e-99,,,0.4520952132815381,,,4.647087089153102,,,4.76496443936444,4.516410322012685,0.1074142661210967,,
14,Hoek van Holland,"['Constant (in year 1960)', 'Trend', 'Acceleration from 1960', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,broken_quadratic,height,22,1219.7411542890381,244.74849896313094,6.0,True,True,,,0.005545069514007267,,-77.8048404506859,,-0.5141620925804526,-9.85222036405785,2.2158973028091964,7.313813754769489,-1.405946178511491,,,0.17494774779432753,,1.9881903407733468e-27,,0.893226180909879,0.006204592200904194,8.30679167986258e-80,3.222930103913936e-17,0.23090732945594983,,,0.004087849157559554,,7.170769101564413,,3.830653544169747,3.5999464491645035,0.1171396239454612,0.8667516233148824,1.173553401629061
15,Hoek van Holland,"['Constant (in year 1960)', 'Trend', 'Acceleration from 1960', 'Nodal U', 'Nodal V']",NCEP1,broken_quadratic,height - surge anomaly,22,1240.6092611963359,371.6045134326434,4.0,True,False,,,0.009216801064002569,,-37.246069955387334,,0.4953156278618465,-9.775463035004353,2.181601055752543,,,,,0.06520627838053708,,3.708131499505957e-11,,0.9155547448714461,0.02815856843238479,2.6944253237033233e-49,,,,,0.004998695542839118,,5.630296699307655,,4.671255552363207,4.4533716530854965,0.14781546371805132,,
16,Den Helder,"['Constant', 'Trend', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,linear,height,23,1229.949417487917,131.56674648103728,5.0,True,True,,,,-108.89727705695843,,,4.053763956354818,-14.268334070187553,1.4825553434520757,7.95500059085598,0.0082912980396726,,,,8.139535518545682e-86,,,0.28959724970682155,0.0018652319332598307,8.084528143419487e-87,6.83977074590868e-32,0.9931677879163139,,,,5.546750144868499,,,3.827896781014706,4.586573377084388,0.07506758898526417,0.6768657792271058,0.9682688077619609
17,Den Helder,"['Constant', 'Trend', 'Nodal U', 'Nodal V']",NCEP1,linear,height - surge anomaly,23,1246.5494811668832,139.41945816086943,3.0,True,False,,,,-57.84603584138602,,,4.693525586045,-14.347542366707723,1.5411196680672399,,,,,,7.416454712149768e-72,,,0.2920134523324438,0.004295384341158089,4.13482300357506e-90,,,,,,3.2269694255721038,,,4.454265059416878,5.024330219300355,0.07656319661362362,,
18,Den Helder,"['Constant (in year 1970)', 'Trend', 'Acceleration', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,quadratic,height,23,1229.3467691157575,120.03265920888866,6.0,True,True,,0.003893509318897697,,,,-112.30801428701479,4.007928672892559,-14.06360395142997,1.5923677396876479,7.890011406845148,-0.4083443461066089,,0.094124955280139,,,,5.122962464322639e-73,0.2819414575344473,0.0016231784558578008,2.735122053384692e-74,8.224820150359306e-31,0.6713619405559574,,0.002325831853829658,,,,6.21384663925987,3.7249506978426656,4.462214976047453,0.0873260079808725,0.683668052662823,0.9624417008476561
19,Den Helder,"['Constant (in year 1970)', 'Trend', 'Acceleration', 'Nodal U', 'Nodal V']",NCEP1,quadratic,height - surge anomaly,23,1242.557131983393,160.06591599204407,4.0,True,False,,0.006282708872412596,,,,-65.68812674812968,4.628730116404667,-13.894717036515836,1.7125707907707244,,,,0.008971675251304028,,,,4.89136727981865e-37,0.25376569502615487,0.0031845847546713387,2.276875510505067e-106,,,,0.002404283391472775,,,,5.166258413238899,4.055840606510446,4.711135423830219,0.07817813273913753,,
20,Den Helder,"['Constant', 'Trend', '+trend (1993)', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,broken_linear,height,23,1228.4529075729051,123.58378863115104,6.0,True,True,1.06347001716338,,,-113.16509459363779,,,4.576114862143057,-13.837347256545456,1.355366755362041,8.000130246781744,-0.4765104333580687,0.006778256042491019,,,1.0860638985058487e-88,,,0.2133006197074333,0.0016284461162195437,1.7749621048289245e-47,3.1188576922764236e-32,0.6019272567153141,0.3927799541723636,,,5.667861282008536,,,3.6769506706962582,4.391744976773305,0.09364302671042683,0.6768952194042542,0.9135009411636904
21,Den Helder,"['Constant', 'Trend', '+trend (1993)', 'Nodal U', 'Nodal V']",NCEP1,broken_linear,height - surge anomaly,23,1243.7100035171084,193.00359284018342,4.0,True,False,1.3574555126957917,,,-64.46047512029907,,,5.398410865620214,-13.70764173722555,1.3741662131922974,,,0.000897011109319373,,,8.386034493371225e-51,,,0.19050325458093698,0.0039040056506167865,5.671673762751864e-41,,,0.4087511597116944,,,4.299895660276292,,,4.123783252994143,4.7500057715581665,0.10251340540153699,,
22,Den Helder,"['Constant (in year 1960)', 'Trend', 'Acceleration from 1960', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,broken_quadratic,height,23,1228.6303961358085,125.73247403548112,6.0,True,True,,,0.009083386019211026,,-128.35215446255617,,4.400519542118294,-14.015966568846608,1.2966367035594673,7.920213410256371,-0.5477227636005622,,,0.024647830714835457,,5.065145181203573e-101,,0.232138136926888,0.0014473081181562812,1.1890751099842549e-26,1.4577186288847341e-31,0.5567516354962116,,,0.004042670040876617,,6.015255691018528,,3.682846230878003,4.400553370162636,0.12134456763788168,0.6776016188388185,0.9320192228993103
23,Den Helder,"['Constant (in year 1960)', 'Trend', 'Acceleration from 1960', 'Nodal U', 'Nodal V']",NCEP1,broken_quadratic,height - surge anomaly,23,1241.8710090221343,187.7870825423251,4.0,True,False,,,0.013616877028750992,,-82.52725764561269,,5.243554029773255,-13.832989148191901,1.2557908349431175,,,,,0.0019664332108832168,,3.8171309897407367e-59,,0.18876421143852795,0.0029391966905130545,1.0469147685130508e-20,,,,,0.004399273774014247,,5.088899095319423,,3.989788260246759,4.6512662359662125,0.1345799621397007,,
24,Delfzijl,"['Constant', 'Trend', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,linear,height,24,1277.2935043444768,146.58392595401432,5.0,True,True,,,,-27.26651418938878,,,2.6474796329615384,-14.472446648538812,1.9714297017139968,9.329934630622022,-0.628936681499311,,,,6.858915760178104e-05,,,0.6189267456437526,0.0018231604724244835,1.461941007141711e-88,4.447089483878973e-26,0.6259004651150855,,,,6.848942797282626,,,5.322936600834644,4.6421418201323705,0.09881235128405595,0.88330830484294,1.2901131624594178
25,Delfzijl,"['Constant', 'Trend', 'Nodal U', 'Nodal V']",NCEP1,linear,height - surge anomaly,24,1289.5178264896135,151.12303985512298,3.0,True,False,,,,31.009417265706816,,,2.878060591552586,-14.831073911120434,2.0339454306751654,,,,,,3.2087089695483964e-17,,,0.6198164912113402,0.0027224266940804914,6.204984828332961e-92,,,,,,3.6746650966194303,,,5.8012497580640705,4.947886214386467,0.10001808639045442,,
26,Delfzijl,"['Constant (in year 1970)', 'Trend', 'Acceleration', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,quadratic,height,24,1276.5428885869978,142.2310094150724,6.0,True,True,,0.0046793170570049785,,,,-31.275144104468993,2.597705570504567,-14.23359168994324,2.1037288123150035,9.243508280828399,-1.1425778927073953,,0.08336326972248673,,,,1.4551746558718808e-05,0.6231781957165119,0.0015134450843094826,5.330800865251285e-81,1.9288299318169624e-26,0.3688945041167164,,0.002702470017953803,,,,7.213956209943194,5.286863017187396,4.487129312746062,0.11036857398079401,0.8687017815419124,1.2715852323521273
27,Delfzijl,"['Constant (in year 1970)', 'Trend', 'Acceleration', 'Nodal U', 'Nodal V']",NCEP1,quadratic,height - surge anomaly,24,1285.350408000466,165.23635234569633,4.0,True,False,,0.007166091775301362,,,,22.05705779221336,2.8015979066056347,-14.290497676193528,2.229834807622197,,,,0.007321469482041294,,,,2.507817312516908e-05,0.6081898748662347,0.001763040692754947,1.2412605251506513e-109,,,,0.002672063095048431,,,,5.2341149993689235,5.464837076874778,4.569314164975349,0.100236643508959,,
28,Delfzijl,"['Constant', 'Trend', '+trend (1993)', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,broken_linear,height,24,1271.0041783543584,179.75704776273855,6.0,True,True,1.8569518343342504,,,-34.51560103245804,,,3.5707192408398996,-13.698578814136438,1.7501710938199033,9.369652710720716,-1.456855618130719,4.40850766879081e-05,,,1.3345265551308456e-07,,,0.4722204474055707,0.0009699145120284444,2.1343315705971398e-52,1.2542468978521237e-30,0.19974957414664685,0.45458301428825926,,,6.544432679933354,,,4.967121463104925,4.15220270436355,0.11489309610078483,0.8144440416153299,1.1361576632017913
29,Delfzijl,"['Constant', 'Trend', '+trend (1993)', 'Nodal U', 'Nodal V']",NCEP1,broken_linear,height - surge anomaly,24,1281.3123330157896,231.8101760384033,4.0,True,False,2.1390675233831957,,,20.587469100898552,,,3.995443596044387,-13.789041485831323,1.772071034196505,,,3.2594195624438822e-06,,,1.533871250542717e-06,,,0.4390052567990075,0.001442786252087597,5.916193697076717e-52,,,0.4596432151350581,,,4.283013881489661,,,5.162911744970951,4.3280759688506745,0.11684305998528836,,
30,Delfzijl,"['Constant (in year 1960)', 'Trend', 'Acceleration from 1960', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,broken_quadratic,height,24,1273.2635045296238,166.28025664191293,6.0,True,True,,,0.01409049978470539,,-53.940043413822266,,3.1944421795133975,-14.07349206618924,1.6836679233818248,9.240659951388244,-1.4922848486356532,,,0.0030881893635512562,,9.168544305686916e-15,,0.531626258351328,0.0009661678761094431,2.2452062273146417e-29,2.2535865420690756e-27,0.21686468150029203,,,0.004762201639609909,,6.959748306410025,,5.106814185757991,4.264439264354852,0.1496229982532276,0.8525522002537774,1.208417663541978
31,Delfzijl,"['Constant (in year 1960)', 'Trend', 'Acceleration from 1960', 'Nodal U', 'Nodal V']",NCEP1,broken_quadratic,height - surge anomaly,24,1281.3252626683657,219.18270845330517,4.0,True,False,,,0.018496516433560803,,-1.9378860989542173,,3.624971827185262,-14.093971086567011,1.6471332829392842,,,,,0.00011257952568739393,,0.7006825954753587,,0.48427792347426835,0.0010773484903766671,3.6786435986367115e-27,,,,,0.004789676974183377,,5.041337529499645,,5.182687121193659,4.310732036011055,0.1525986140026589,,
32,Harlingen,"['Constant', 'Trend', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,linear,height,25,1244.8589038852201,107.37324366303422,5.0,True,True,,,,-50.63281197212996,,,0.8634892983511321,-11.391724766332683,1.2994985640209917,10.091102317562054,0.7803187624446417,,,,1.9801487700141068e-11,,,0.8553508999496967,0.010991364575192682,1.4038622972338568e-46,4.9211139145530486e-29,0.4847476059012181,,,,7.5487092557662185,,,4.7367582885532675,4.479687231891392,0.09067838393682234,0.9023347332868705,1.1168358160789393
33,Harlingen,"['Constant', 'Trend', 'Nodal U', 'Nodal V']",NCEP1,linear,height - surge anomaly,25,1268.6685446670926,88.73316190261447,3.0,True,False,,,,15.964077081611906,,,1.469806889071791,-11.58162688426188,1.3790373063626773,,,,,,8.563569302725055e-06,,,0.776838048410621,0.018016218413722005,4.653607361071969e-58,,,,,,3.5869594936577354,,,5.1855651938302865,4.896504510811039,0.0858530632043785,,
34,Harlingen,"['Constant (in year 1970)', 'Trend', 'Acceleration', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,quadratic,height,25,1245.4683472103661,97.26818975203308,6.0,True,True,,0.0031652404736555464,,,,-53.53374695853651,0.8241199801108599,-11.229149465714803,1.3879327790260507,10.044950744646728,0.4750381167354908,,0.22014663957145386,,,,3.666689896836309e-12,0.8614347362796705,0.011309000971096165,5.8048654802361294e-36,1.0281762601889153e-28,0.6723039195956534,,0.0025814710332872615,,,,7.703288221732246,4.721449287753994,4.433137191448921,0.11085741426008518,0.903504661371799,1.1230530603048288
35,Harlingen,"['Constant (in year 1970)', 'Trend', 'Acceleration', 'Nodal U', 'Nodal V']",NCEP1,quadratic,height - surge anomaly,25,1265.0193604523665,98.22244690092684,4.0,True,False,,0.006510022919357193,,,,7.831183685104934,1.3985711233969367,-11.094568629052361,1.5568765564327463,,,,0.010234829797570935,,,,0.14134385547775347,0.7723754599265337,0.016443883834633265,1.705229459979596e-67,,,,0.0025352601643351203,,,,5.324420027496808,4.834844593888658,4.624834284972324,0.08969029838859899,,
36,Harlingen,"['Constant', 'Trend', '+trend (1993)', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,broken_linear,height,25,1238.1660675181847,126.6559934934847,6.0,True,True,1.7761312219891334,,,-57.44866980713872,,,1.7182998308492858,-10.598804203830861,1.0874728836712722,10.102388323374143,-0.006752107639559388,5.526187885306501e-05,,,1.2119087157067309e-15,,,0.6907763749578513,0.00727867496854292,2.461796319821803e-25,1.348072565640738e-32,0.9943199548290371,0.4404890918123797,,,7.17817971709323,,,4.3194885661728755,3.9491518370303704,0.10455790085049992,0.84971653449469,0.9484707905822328
37,Harlingen,"['Constant', 'Trend', '+trend (1993)', 'Nodal U', 'Nodal V']",NCEP1,broken_linear,height - surge anomaly,25,1258.081857843254,180.83399816404005,4.0,True,False,2.204378630494379,,,5.2225958030679696,,,2.620096941472833,-10.484725081537537,1.1099902177149823,,,2.346631039495097e-07,,,0.21884954497113807,,,0.5514277027953449,0.01244065994180888,1.218295292497067e-27,,,0.42641627331476845,,,4.247418223923791,,,4.398924918455522,4.194910171253747,0.10188113924355335,,
38,Harlingen,"['Constant (in year 1960)', 'Trend', 'Acceleration from 1960', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,broken_quadratic,height,25,1242.8083301849651,111.535914019131,6.0,True,True,,,0.010965150511211011,,-69.27280699867894,,1.2697032394935424,-11.054151461782375,1.0741199453188581,10.031512446253108,0.17166115409942445,,,0.015477058028877914,,8.203552943043145e-21,,0.7815954274724741,0.00899562585399041,3.15145754629549e-15,2.122088336683312e-29,0.871509023198295,,,0.004529146370675356,,7.403316572856916,,4.5797895481340705,4.231707152968441,0.1362273833775611,0.8910795550247058,1.061326968929738
39,Harlingen,"['Constant (in year 1960)', 'Trend', 'Acceleration from 1960', 'Nodal U', 'Nodal V']",NCEP1,broken_quadratic,height - surge anomaly,25,1260.5925348788091,143.00285413283845,4.0,True,False,,,0.01736924642294231,,-9.671097774638449,,2.1672570388437173,-10.879501765754164,1.0160426572762364,,,,,0.00022029225568819322,,0.06492880665371421,,0.6337501820536849,0.012107073470432729,1.0300992507770655e-12,,,,,0.004701338895194103,,5.239663196775576,,4.548711937164443,4.336176555973194,0.14257397946247813,,
40,IJmuiden,"['Constant', 'Trend', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,linear,height,32,1248.6049616378673,88.19437549710915,5.0,True,True,,,,-84.3331335357701,,,9.725856340946128,-14.028919279275112,2.0442023100787643,6.46595195059778,-0.6332642567025311,,,,2.643001279815374e-33,,,0.1059533049400506,0.01344751502381695,3.0022530338377432e-61,1.883964820152687e-19,0.6052107832119716,,,,7.013463468055116,,,6.0160461999479455,5.67583531528255,0.12380022379246565,0.7168603217635318,1.2250679246526692
41,IJmuiden,"['Constant', 'Trend', 'Nodal U', 'Nodal V']",NCEP1,linear,height - surge anomaly,32,1251.074708339831,128.27726603423193,3.0,True,False,,,,-44.363597977957504,,,10.248403103409224,-13.834911250398832,2.093156558010851,,,,,,3.013063711633632e-32,,,0.07328377332201774,0.011845515494107936,1.3252565160471308e-81,,,,,,3.7527068127030785,,,5.721978543007547,5.49721373455369,0.10939674922400182,,
42,IJmuiden,"['Constant (in year 1970)', 'Trend', 'Acceleration', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,quadratic,height,32,1250.4790568746553,81.7079553575388,6.0,True,True,,-0.0012634938377856595,,,,-82.93710836185619,9.749123684769492,-14.092450960803324,2.0107383563154735,6.472264092157514,-0.5711033018864566,,0.7372400043354944,,,,4.893724384737124e-22,0.10350684249402235,0.013272510402354807,1.7720588844760707e-59,9.142966293985266e-20,0.6446094782041877,,0.0037658843240424007,,,,8.594112176127629,5.988092198271716,5.690764304683015,0.12362981662289792,0.711340377554449,1.238127764447247
43,IJmuiden,"['Constant (in year 1970)', 'Trend', 'Acceleration', 'Nodal U', 'Nodal V']",NCEP1,quadratic,height - surge anomaly,32,1253.0272906832342,129.09714006823455,4.0,True,False,,0.0007191541498661532,,,,-45.264297305225995,10.238934898247933,-13.791804233017448,2.112247718598558,,,,0.8352706832976164,,,,1.9310690007840953e-12,0.07360407058072628,0.012119755915739359,8.898706462329619e-95,,,,0.0034583601773949804,,,,6.430160439115064,5.723059272544473,5.49772558003992,0.10226587407457152,,
44,IJmuiden,"['Constant', 'Trend', '+trend (1993)', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,broken_linear,height,32,1250.6045105710914,77.89589000760225,6.0,True,True,-0.018439813303304985,,,-84.24797431366221,,,9.717888600325809,-14.037700403941987,2.0465197845579186,6.465522858884121,-0.6296027750355482,0.9764147393488903,,,2.4547092401633555e-25,,,0.10693714357955099,0.0138539777861014,2.510246678869953e-33,2.680634913659579e-19,0.6041841452189463,0.6237242651711997,,,8.10002606388975,,,6.028040724312137,5.7040000020475805,0.1701361341869364,0.7199029107181316,1.214528085528331
45,IJmuiden,"['Constant', 'Trend', '+trend (1993)', 'Nodal U', 'Nodal V']",NCEP1,broken_linear,height - surge anomaly,32,1252.9660018142818,127.10338840317606,4.0,True,False,0.2547116483051503,,,-45.617082157392225,,,10.370396170423655,-13.710973507829282,2.0612188109567287,,,0.6623964154977622,,,3.987797626960181e-18,,,0.07043394679799837,0.012513957473282019,3.453202517687122e-39,,,0.5833888890090498,,,5.255946201029172,,,5.732319932753662,5.490297390987447,0.15738838742537253,,
46,IJmuiden,"['Constant (in year 1960)', 'Trend', 'Acceleration from 1960', 'Nodal U', 'Nodal V', 'Wind $u^2$', 'Wind $v^2$']",NCEP1,broken_quadratic,height,32,1250.4869739758396,80.49723708767617,6.0,True,True,,,-0.002496890737575592,,-103.2381734714204,,9.646099669056776,-14.113920429705006,2.0973600712579348,6.467429133013031,-0.5654118044627422,,,0.6892822102441233,,2.415072195171993e-35,,0.10785894664324332,0.013237370873338395,1.904668394761373e-22,1.6331018465925462e-19,0.6460874282578974,,,0.006244891040409305,,8.321419577095826,,5.999223049182049,5.697257060011253,0.21518556338359957,0.7157828443553691,1.2312858240008433
47,IJmuiden,"['Constant (in year 1960)', 'Trend', 'Acceleration from 1960', 'Nodal U', 'Nodal V']",NCEP1,broken_quadratic,height - surge anomaly,32,1253.0260684676377,128.80386990447997,4.0,True,False,,,0.0014826098961090886,,-66.30682356735149,,10.302446675585143,-13.779928873099054,2.061602535239107,,,,,0.8102236908460313,,6.298088337453731e-26,,0.07218208868914099,0.01213605893641208,4.15216138321511e-23,,,,,0.006174004941157632,,6.297075316930627,,5.7300502723403,5.494031922700126,0.20823732249488883,,
