# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# predicted_broken_linear -> fitted sea surface height based on broken linear model [mm relative to NAP(2005)] 
# predicted_broken_linear_ci_025 -> fitted sea surface height based on broken linear model, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_broken_linear_ci_975']  -> fitted sea surface height based on broken linear model, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_broken_linear_pi_025']  -> fitted sea surface height based on broken linear model, 2.5% prediction interval [mm relative to NAP(2005)] 
# predicted_broken_linear_pi_975']  -> fitted sea surface height based on broken linear model, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_linear  -> fitted nodal tide based on linear model  [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_broken_linear  -> fitted nodal tide based on broken linear model with wind [mm relative to NAP(2005)]
t,year,height,u2,v2,surge_mm,station,height - surge,height - surge anomaly,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,predicted_broken_linear,predicted_broken_linear_ci_025,predicted_broken_linear_ci_975,predicted_broken_linear_pi_025,predicted_broken_linear_pi_975,sea_surface_height_due_to_tide_linear,sea_surface_height_due_to_tide_broken_linear,date
1906-01-01,1906.0,-144.8,6.343871,2.392497,44.512700279247234,10001,-189.31270027924725,-144.8,-152.547595496703,-155.78189767829963,-153.98289633137998,-163.4664898856341,-144.49930277712585,-198.1273531074521,-109.83843955530784,-153.01576385262416,-164.23960872763664,-141.7919189776117,-193.17628626614646,-112.85524143910187,0.8305634418452561,0.14487873495647996,1906-01-01
1907-01-01,1907.0,-169.2,6.343871,2.392497,44.512700279247234,10001,-213.71270027924723,-169.2,-146.44320344750673,-149.7446050304705,-152.11783566103128,-161.48929812586,-142.74637319620257,-196.23833912690193,-107.99733219516062,-147.26780806908974,-158.07642913076188,-136.4591870074176,-187.31427053462477,-107.22134560355472,4.949298816995484,4.115416645283741,1907-01-01
1908-01-01,1908.0,-179.2,6.343871,2.392497,44.512700279247234,10001,-223.71270027924723,-179.2,-140.97933726028128,-144.26596601368226,-150.25277499068255,-159.51253874014708,-140.99301124121803,-194.34968805779087,-106.15586192357424,-141.98438120917552,-152.434480416335,-131.53428200201606,-181.93556942915413,-102.03319298919692,8.509380561104814,7.621425631990752,1908-01-01
1909-01-01,1909.0,-128.2,6.343871,2.392497,44.512700279247234,10001,-172.71270027924723,-128.2,-136.5622132181312,-139.7478259532404,-148.38771432033386,-157.5362275657143,-139.2392010749534,-192.46140048286298,-104.31402815780471,-137.5612251190115,-147.73275195648992,-127.3896982815331,-177.44045310745463,-97.68199713056838,11.108963348867762,10.267163848947602,1909-01-01
1910-01-01,1910.0,-119.2,6.343871,2.392497,44.512700279247234,10001,-163.71270027924723,-119.2,-133.4798962615704,-136.48361355839728,-146.52265364998513,-155.56038115443596,-137.4849261455343,-190.57347697710262,-102.47183032286765,-134.29697831616116,-144.27594140842527,-124.31801522389705,-174.12752653163832,-94.466430100684,12.454618471032001,11.753992778590753,1910-01-01
1911-01-01,1911.0,-148.0,6.343871,2.392497,44.512700279247234,10001,-192.51270027924724,-148.0,-131.86978456948117,-134.6252200662599,-144.65759297963643,-153.58501680890055,-135.73016915037232,-188.6859181076665,-100.62926785160636,-132.35946707480898,-142.22508224644048,-122.49385190317747,-172.16176888592798,-92.55716526368997,12.394454690490482,11.914086146735755,1911-01-01
1912-01-01,1912.0,-87.0,6.343871,2.392497,44.512700279247234,10001,-131.51270027924724,-87.0,-131.70310069727975,-134.16585447153653,-142.7925323092877,-151.61015262027408,-133.97491199830134,-186.7987244338164,-98.78634018475901,-131.76676198328005,-141.58650441729898,-121.9470195492611,-171.5577183454882,-91.97580562107188,10.935263012534957,10.729373365057523,1912-01-01
1913-01-01,1913.0,-109.6,6.343871,2.392497,44.512700279247234,10001,-154.11270027924724,-109.6,-132.78813983985262,-134.9408100633543,-140.927471638939,-149.63580750803172,-132.2191357698463,-184.91189650685263,-96.9430467710254,-132.3851382208074,-142.21636681238476,-122.55390962923002,-172.17893073130494,-92.59134571030984,8.241750148038314,8.333579254323041,1913-01-01
1914-01-01,1914.0,-95.8,6.343871,2.392497,44.512700279247234,10001,-140.31270027924722,-95.8,-134.79190857058296,-136.6460557460679,-139.0624109685903,-147.66200126161792,-130.4628206755627,-183.02543487004806,-95.09938706713257,-133.9441697879357,-143.83740733272313,-124.05093224314825,-173.7533272252173,-94.13501235065408,4.617947192645781,4.997129813987534,1914-01-01
1915-01-01,1915.0,-133.2,6.343871,2.392497,44.512700279247234,10001,-177.71270027924723,-133.2,-137.27771157712286,-138.87255364298767,-137.1973502982416,-145.68875458409107,-128.7059460123921,-181.13934005858306,-93.25536053790013,-136.06725392464833,-146.0660174829137,-126.06849036638293,-175.90276747026212,-96.23174037903455,0.47289202304712985,1.096627804067729,1915-01-01
