# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_linear  -> fitted nodal tide based on linear model  [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_broken_linear  -> fitted nodal tide based on broken linear model with wind [mm relative to NAP(2005)]
t,year,height,u2,v2,surge_mm,station,height - surge,height - surge anomaly,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,sea_surface_height_due_to_tide_linear,sea_surface_height_due_to_tide_broken_linear,date
1930-01-01,1930.0,-90.6,6.343871,2.392497,44.512700279247234,10001,-135.11270027924724,-90.6,-96.92674813202582,-98.57705002735604,-109.22144024301095,-116.17466413333345,-102.26821635268844,-152.89227536006774,-65.55060512595414,11.990036548495276,11.61105806003389,1930-01-01
1931-01-01,1931.0,-86.4,6.343871,2.392497,44.512700279247234,10001,-130.91270027924725,-86.4,-97.27563099362091,-98.62313513739286,-107.35637957266225,-114.2141327781641,-100.4986263671604,-151.01211569496104,-63.70064345036347,10.02539416577955,9.9337895855326,1931-01-01
1932-01-01,1932.0,-101.2,6.343871,2.392497,44.512700279247234,10001,-145.71270027924723,-101.2,-98.76238146142181,-99.80083970715938,-105.49131890231355,-112.25470485352105,-98.72793295110606,-149.1323306559061,-61.850307148721015,6.9291323233341195,7.13524154656095,1932-01-01
1933-01-01,1933.0,-147.0,6.343871,2.392497,44.512700279247234,10001,-191.51270027924724,-147.0,-101.00866281903139,-101.76067222585901,-103.62625823196483,-110.29642719243438,-96.95608927149527,-147.25292062222135,-59.999595841708306,3.0507425319555894,3.531300916490869,1933-01-01
1934-01-01,1934.0,-133.8,6.343871,2.392497,44.512700279247234,10001,-178.31270027924725,-133.8,-103.55040606651714,-104.06485824913906,-101.76119756161613,-108.33934869519712,-95.18304642803514,-145.37388596405748,-58.148509159174765,-1.1720007640033576,-0.47123639408707607,1934-01-01
1935-01-01,1935.0,-85.6,6.343871,2.392497,44.512700279247234,10001,-130.11270027924724,-85.6,-105.89019185196402,-106.23675432456935,-99.8961368912674,-106.38352038926217,-93.40875339327263,-143.49522704235045,-56.29704674018436,-5.262454112112521,-4.420582751285631,1935-01-01
1936-01-01,1936.0,-68.2,6.343871,2.392497,44.512700279247234,10001,-112.71270027924723,-68.2,-107.55339683429732,-107.81464926840039,-98.0310762209187,-104.428995484451,-91.63315695738642,-141.6169442087756,-54.44520823306181,-8.758906328622476,-7.870954466492007,1936-01-01
1937-01-01,1937.0,-79.4,6.343871,2.392497,44.512700279247234,10001,-123.91270027924725,-79.4,-108.14176693934805,-108.40387995788707,-96.16601555056998,-102.4758294221593,-89.85620167898067,-139.73903780570294,-52.592993295437026,-11.266694290788061,-10.432889767763516,1937-01-01
1938-01-01,1938.0,-72.4,6.343871,2.392497,44.512700279247234,10001,-116.91270027924725,-72.4,-107.37837041135363,-107.72137905303899,-94.30095488022128,-100.52407991707574,-88.07782984336683,-137.86150816615344,-50.74040159428912,-12.502750658618856,-11.817209417501354,1938-01-01
1939-01-01,1939.0,-102.6,6.343871,2.392497,44.512700279247234,10001,-147.11270027924724,-102.6,-105.13885657033485,-105.62762630996039,-92.43589420987259,-98.57380698974731,-86.29798142999786,-135.98435561375643,-48.887432805988745,-12.327555188219163,-11.867657908118943,1939-01-01
