# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide  -> fitted nodal tide based on linear model with wind [mm relative to NAP(2005)]
index,t,year,height,u2,v2,surge,height-surge,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,sea_surface_height_due_to_tide,date
41,1903-01-01,1903.0,-129.4,6.3112593,2.3649986,0.04513845848196298,-84.30667997651899,-125.52080371961159,-129.54268540568265,-115.41660253776791,-122.74665259635695,-108.08655247917888,-160.87732117538042,-69.95588390015541,-10.104201181843651,1903-01-01
42,1904-01-01,1904.0,-155.4,6.3112593,2.3649986,0.04513845848196298,-110.30667997651899,-120.59944617692588,-124.54924126929383,-113.5424428736336,-120.78688818433966,-106.29799756292755,-158.9894371972031,-68.0954485500641,-7.057003303292282,1904-01-01
43,1905-01-01,1905.0,-172.8,6.3112593,2.3649986,0.04513845848196298,-127.706679976519,-114.8815272089906,-118.58187561206148,-111.6682832094993,-118.82746470376037,-104.50910171523822,-157.10176408929232,-66.23480232970627,-3.2132439994913136,1905-01-01
44,1906-01-01,1906.0,-144.8,6.3112593,2.3649986,0.04513845848196298,-99.706679976519,-108.80091233318811,-112.09741159386132,-109.79412354536498,-116.86839448202684,-102.71985260870312,-155.21430203986284,-64.37394505086712,0.9932112121768699,1906-01-01
45,1907-01-01,1907.0,-169.2,6.3112593,2.3649986,0.04513845848196298,-124.10667997651898,-102.83240647940866,-105.6110400116105,-107.91996388123067,-114.90969039321928,-100.93023736924206,-153.32705123440877,-62.51287652805259,5.087557401822009,1907-01-01
46,1908-01-01,1908.0,-179.2,6.3112593,2.3649986,0.04513845848196298,-134.106679976519,-97.43816023709115,-99.63816697910693,-106.04580421709636,-112.95136588498868,-99.14024254920405,-151.44001185569064,-60.65159657850207,8.607643980005205,1908-01-01
47,1909-01-01,1909.0,-128.2,6.3112593,2.3649986,0.04513845848196298,-83.10667997651898,-93.01550446484691,-94.63623730290942,-104.17164455296205,-110.99343500674323,-97.34985409918087,-149.55318408372332,-58.79010502220078,11.156140088115132,1909-01-01
48,1910-01-01,1910.0,-119.2,6.3112593,2.3649986,0.04513845848196298,-74.10667997651899,-89.8521014472,-90.95310025865558,-102.29748488882774,-109.03591243916215,-95.55905733849333,-147.6665680957634,-56.928401681892055,12.445383441627737,1910-01-01
49,1911-01-01,1911.0,-148.0,6.3112593,2.3649986,0.04513845848196298,-102.90667997651899,-88.09347492546544,-88.78774599674794,-100.42332522469343,-107.07881352507236,-93.7678369243145,-145.78016406629735,-55.06648638308952,12.329850299227996,1911-01-01
50,1912-01-01,1912.0,-87.0,6.3112593,2.3649986,0.04513845848196298,-41.90667997651899,-87.72658406054788,-88.16784446773015,-98.54916556055912,-105.1221543017198,-91.97617681939843,-143.8939721670292,-53.20435895408903,10.822581500011248,1912-01-01
51,1913-01-01,1913.0,-109.6,6.3112593,2.3649986,0.04513845848196298,-64.50667997651898,-88.58129542167819,-88.94662216808193,-96.6750058964248,-103.16595153446083,-90.18406025838878,-142.00799256686918,-51.34201922598044,8.093710474746612,1913-01-01
52,1914-01-01,1914.0,-95.8,6.3112593,2.3649986,0.04513845848196298,-50.706679976518984,-90.34958684990497,-90.81942924471491,-94.8008462322905,-101.21022275189222,-88.39146971268877,-140.12222543192178,-49.47946703265922,4.451259382385525,1914-01-01
53,1915-01-01,1915.0,-133.2,6.3112593,2.3649986,0.04513845848196298,-88.10667997651898,-92.62031555432435,-93.35812694113761,-92.92668656815619,-99.25498628242968,-86.59838685388269,-138.2366709254744,-47.616702210837964,0.3063710138318383,1915-01-01
54,1916-01-01,1916.0,-86.2,6.3112593,2.3649986,0.04513845848196298,-41.10667997651899,-94.92562598145878,-96.05941389169396,-91.05252690402187,-97.30026129233381,-84.80479251570993,-136.3513292079862,-45.753724600057545,-3.873099077436899,1916-01-01
55,1917-01-01,1917.0,-138.8,6.3112593,2.3649986,0.04513845848196298,-93.706679976519,-96.79375915520905,-98.40163641850144,-89.17836723988756,-95.34606782516946,-83.01066665460567,-134.4662004370768,-43.89053404269834,-7.615391915321461,1917-01-01
56,1918-01-01,1918.0,-140.4,6.3112593,2.3649986,0.04513845848196298,-95.30667997651899,-97.80230261683988,-99.90367035129525,-87.30420757575325,-93.39242684266921,-81.2159883088373,-132.58128476751548,-42.02713038399103,-10.498095041086613,1918-01-01
57,1919-01-01,1919.0,-162.0,6.3112593,2.3649986,0.04513845848196298,-116.90667997651899,-97.62587036159209,-100.17922806659438,-85.43004791161894,-91.43936026695347,-79.42073555628441,-130.69658235121045,-40.16351347202743,-12.195822449973132,1919-01-01
