# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide  -> fitted nodal tide based on linear model with wind [mm relative to NAP(2005)]
index,year,height,u2,v2,surge,height-surge,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,sea_surface_height_due_to_tide,date
19,1909,-119.5,3.3483374,0.7076815,0.04778568535266118,-119.5,-130.1935314678266,-130.49443804115697,-140.77921399507352,-147.7541652246178,-133.80426276552924,-188.10945293865922,-93.44897505148784,10.585682527246936,1909-01-01
20,1910,-110.33333333333333,3.3483374,0.7076815,0.04778568535266118,-110.33333333333333,-127.1457323058787,-127.16932936413149,-138.8608864054697,-145.74985431800945,-131.97191849292994,-186.17853060615235,-91.54324220478705,11.715154099591,1910-01-01
21,1911,-132.33333333333334,3.3483374,0.7076815,0.04778568535266118,-132.33333333333334,-125.42028477755345,-125.29911704469241,-136.94255881586588,-143.74602929193756,-130.1390883397942,-184.2478310835653,-89.63728654816646,11.522274038312425,1911-01-01
22,1912,-70.16666666666667,3.3483374,0.7076815,0.04778568535266118,-70.16666666666667,-124.9954174864222,-124.87542750074698,-135.02423122626206,-141.74270869596094,-128.30575375656318,-182.31735454576005,-87.73110790676407,10.028813739839864,1912-01-01
23,1913,-98.83333333333333,3.3483374,0.7076815,0.04778568535266118,-98.83333333333333,-125.70255564049783,-125.72661044560385,-133.10590363665824,-139.73991191794786,-126.47189535536863,-180.38710116462502,-85.82470610869146,7.403347996160415,1913-01-01
24,1914,-86.5,3.3483374,0.7076815,0.04778568535266118,-86.5,-127.24534898389284,-127.53711396704472,-131.18757604705442,-137.73765922323489,-124.63749287087394,-178.45707110906324,-83.9180809850456,3.9422270631615914,1914-01-01
25,1915,-124.33333333333333,3.3483374,0.7076815,0.04778568535266118,-124.33333333333333,-129.23312242338957,-129.88310254677756,-129.2692484574506,-135.7359717951883,-122.8025251197129,-176.5272645449805,-82.01123236992069,0.03612603406103432,1915-01-01
26,1916,-73.33333333333333,3.3483374,0.7076815,0.04778568535266118,-73.33333333333333,-131.22497360012747,-132.2802976253356,-127.35092086784677,-133.73487177712667,-120.96696995856685,-174.5976816352739,-80.10416010041965,-3.8740527322806826,1916-01-01
27,1917,-127.83333333333333,3.3483374,0.7076815,0.04778568535266118,-127.83333333333333,-132.77953987939648,-134.23864069389737,-125.43259327824295,-131.73438231554385,-119.13080424094204,-172.66832253982034,-78.19686401666556,-7.346946601153493,1917-01-01
28,1918,-131.5,3.3483374,0.7076815,0.04778568535266118,-131.5,-133.50481729420974,-135.3176087996748,-123.51426568863913,-129.7345276045468,-117.29400377273146,-170.73918741546558,-76.28934396181268,-9.99055160557058,1918-01-01
29,1919,-153.66666666666666,3.3483374,0.7076815,0.04778568535266118,-153.66666666666666,-133.10240811402733,-135.17593871012915,-121.59593809903531,-127.73533293139724,-115.45654326667338,-168.81027641601298,-74.38159978205763,-11.50647001499199,1919-01-01
30,1920,-149.16666666666666,3.3483374,0.7076815,0.04778568535266118,-149.16666666666666,-131.40120258065943,-133.61014710563848,-119.67761050943149,-125.73682472301306,-113.61839629584992,-166.8815896922129,-72.47363132665006,-11.723592071227909,1920-01-01
31,1921,-119.33333333333333,3.3483374,0.7076815,0.04778568535266118,-119.33333333333333,-128.37669297501688,-130.57749882198328,-117.75928291982767,-123.73903059325012,-111.77953524640522,-164.95312739175213,-70.5654384479032,-10.617410055189195,1921-01-01
32,1922,-126.33333333333333,3.3483374,0.7076815,0.04778568535266118,-126.33333333333333,-124.15373993346505,-126.20083059519345,-115.84095533022385,-121.74197939074325,-109.93993126970445,-163.02488965924334,-68.65702100120437,-8.31278460324117,1922-01-01
33,1923,-104.0,3.3483374,0.7076815,0.04778568535266118,-104.0,-118.99247876496902,-120.75468582706834,-113.92262774062003,-119.74570124703845,-108.0995542342016,-161.09687663621503,-66.74837884502503,-5.069851024349014,1923-01-01
34,1924,-130.0,3.3483374,0.7076815,0.04778568535266118,-130.0,-113.25895659783153,-114.63432541399033,-112.00430015101621,-117.75022762469449,-106.25837267733793,-159.16908846110158,-64.83951184093085,-1.2546564468153103,1924-01-01
35,1925,-75.16666666666667,3.3483374,0.7076815,0.04778568535266118,-75.16666666666667,-107.383814697144,-108.31111255129053,-110.08597256141239,-115.75559136497276,-104.41635375785202,-157.24152526923334,-62.93041985359145,2.7021578642683854,1925-01-01
36,1926,-93.0,3.3483374,0.7076815,0.04778568535266118,-93.0,-101.81367969911823,-102.27930746713979,-108.16764497180857,-113.76182673466676,-102.57346320895039,-155.31418719282715,-61.02110275078998,6.35396527269035,1926-01-01
37,1927,-92.16666666666667,3.3483374,0.7076815,0.04778568535266118,-92.16666666666667,-96.96075049172028,-97.00027764679348,-106.24931738220475,-111.76896947154884,-100.72966529286066,-153.387074360977,-59.111560403432485,9.288566890484466,1927-01-01
38,1928,-79.33333333333333,3.3483374,0.7076815,0.04778568535266118,-79.33333333333333,-93.15627113801006,-92.85042083534115,-104.33098979260093,-109.77705682782934,-98.88492275737252,-151.46018689964484,-57.20179268555703,11.17471865459088,1928-01-01
39,1929,-131.83333333333334,3.3483374,0.7076815,0.04778568535266118,-131.83333333333334,-90.61314160032038,-90.0786790260949,-102.41266220299711,-107.78612761093434,-97.03919679505988,-149.53352493165153,-55.29179947434271,11.79952060267673,1929-01-01
40,1930,-83.33333333333333,3.3483374,0.7076815,0.04778568535266118,-83.33333333333333,-89.40188659131987,-88.77843905628478,-100.49433461339329,-105.79622222081106,-95.19244700597552,-147.60708857666827,-53.3815806501183,11.09244802207342,1930-01-01
41,1931,-74.83333333333333,3.3483374,0.7076815,0.04778568535266118,-74.83333333333333,-89.44269507531048,-88.87699153899254,-98.57600702378947,-103.80738268286593,-93.34463136471301,-145.68087795120812,-51.47113609637081,9.13331194847899,1931-01-01
42,1932,-90.0,3.3483374,0.7076815,0.04778568535266118,-90.0,-90.51442896350709,-90.14373795763406,-96.65767943418565,-101.81965267553056,-91.49570619284074,-143.75489316861749,-49.56046569975382,6.143250470678572,1932-01-01
