# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_linear  -> fitted nodal tide based on linear model  [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_broken_linear  -> fitted nodal tide based on broken linear model with wind [mm relative to NAP(2005)]
index,t,year,height,u2,v2,surge_mm,height - surge,height - surge anomaly,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,sea_surface_height_due_to_tide_linear,sea_surface_height_due_to_tide_broken_linear,date
69,1931-01-01,1931.0,-86.4,6.3112593,2.3649986,45.138458481962985,-131.538458481963,-86.4,-97.33422138559641,-98.14470704925364,-107.41849773733807,-114.27191461320321,-100.56508086147294,-151.23638477873834,-63.600610695937796,10.566864997278818,10.768435923122013,1931-01-01
70,1932-01-01,1932.0,-101.2,6.3112593,2.3649986,45.138458481962985,-146.338458481963,-101.2,-98.82894790518682,-99.50356499436276,-105.55568707263228,-112.31407236913505,-98.79730177612952,-149.35881109038365,-61.752563054880916,7.293866842973839,7.727611424671365,1932-01-01
71,1933-01-01,1933.0,-147.0,6.3112593,2.3649986,45.138458481962985,-192.13845848196297,-147.0,-101.08295718379239,-101.68572040984566,-103.69287640792649,-110.35742673780682,-97.02832607804616,-147.48162077218097,-59.904132043672,3.197571218295065,3.8145304023588675,1933-01-01
72,1934-01-01,1934.0,-133.8,6.3112593,2.3649986,45.138458481962985,-178.93845848196298,-133.8,-103.63156190009502,-104.22880266318256,-101.83006574322067,-108.40202897538828,-95.25810251105307,-145.60481420193238,-58.05531728450895,-1.25965124423769,-0.5291169160673812,1934-01-01
73,1935-01-01,1935.0,-85.6,6.3112593,2.3649986,45.138458481962985,-130.738458481963,-85.6,-105.97682218185096,-106.62970139366925,-99.96725507851488,-106.44793256565688,-93.48657759137288,-143.7283917478345,-56.20611840919526,-5.57469018392025,-4.81303999933707,1935-01-01
74,1936-01-01,1936.0,-68.2,6.3112593,2.3649986,45.138458481962985,-113.33845848196299,-68.2,-107.64375072260671,-108.40135524961312,-98.10444441380909,-104.49519327459741,-91.71369555302077,-141.8523537684307,-54.356535059187486,-9.260484249059981,-8.553689707650753,1936-01-01
75,1937-01-01,1937.0,-79.4,6.3112593,2.3649986,45.138458481962985,-124.53845848196299,-79.4,-108.23392712046873,-109.12772908868479,-96.24163374910327,-102.54386919796717,-89.93939830023938,-139.97670061256466,-52.50656688564189,-11.900998297327497,-11.32883905103045,1937-01-01
76,1938-01-01,1938.0,-72.4,6.3112593,2.3649986,45.138458481962985,-117.53845848196299,-72.4,-107.47046970389707,-108.5107740729733,-94.37882308439748,-100.59402080016628,-88.16362536862869,-138.10143261933513,-50.65621354945985,-13.198183490811886,-12.825242191088648,1938-01-01
77,1939-01-01,1939.0,-102.6,6.3112593,2.3649986,45.138458481962985,-147.738458481963,-102.6,-105.22928863581066,-106.40407002352647,-92.51601241969166,-98.64571094255642,-86.3863138968269,-136.22655011805145,-48.80547472133188,-13.005619650560917,-12.873992161686258,1939-01-01
78,1940-01-01,1940.0,-98.0,6.3112593,2.3649986,45.138458481962985,-143.13845848196297,-98.0,-101.55309259223472,-102.82935264322688,-90.65320175498587,-96.6990048991723,-84.60739861079945,-134.3520534281909,-46.954350081780824,-11.345042479457184,-11.4695862948506,1940-01-01
79,1941-01-01,1941.0,-130.2,6.3112593,2.3649986,45.138458481962985,-175.33845848196296,-130.2,-96.64656800731697,-97.97406009262268,-88.79039109028008,-94.75397035756832,-82.82681182299184,-132.47794285935672,-45.10283932120344,-8.403890138048848,-8.770547336120657,1941-01-01
80,1942-01-01,1942.0,-115.8,6.3112593,2.3649986,45.138458481962985,-160.93845848196298,-115.8,-90.85327502891855,-92.17017584972291,-86.92758042557426,-92.81067740234911,-81.04448344879941,-130.60421871123745,-43.25094213991108,-4.514146104344945,-5.0815301407332045,1942-01-01
81,1943-01-01,1943.0,-69.2,6.3112593,2.3649986,45.138458481962985,-114.33845848196299,-69.2,-84.61686806092126,-85.85675597248607,-85.06476976086847,-90.86919847875073,-79.26034104298621,-128.73088127356786,-41.39865824816909,-0.1148664363039762,-0.8189336628388628,1943-01-01
82,1944-01-01,1944.0,-63.4,6.3112593,2.3649986,45.138458481962985,-108.53845848196298,-63.4,-78.43101813550251,-79.53037051081017,-83.20195909616265,-88.9296083334804,-77.4743098588449,-126.85793082609061,-39.545987366234705,4.297378816176064,3.5361002049248396,1944-01-01
83,1945-01-01,1945.0,-73.6,6.3112593,2.3649986,45.138458481962985,-118.73845848196298,-73.6,-72.78368964305973,-73.68905300893721,-81.33914843145686,-86.99198392989908,-75.68631293301465,-124.98536763851956,-37.692929224394156,8.224556108853175,7.491995671017946,1945-01-01
84,1946-01-01,1946.0,-81.2,6.3112593,2.3649986,45.138458481962985,-126.33845848196299,-81.2,-68.10206120108606,-68.77608481548202,-79.47633776675106,-85.0564043345513,-73.89627119895081,-123.11319197050415,-35.83948356299797,11.22338409311248,10.60222981414045,1946-01-01
85,1947-01-01,1947.0,-133.8,6.3112593,2.3649986,45.138458481962985,-178.93845848196298,-133.8,-64.70430773591767,-65.12995956443594,-77.61352710204527,-83.12295057203256,-72.10410363205797,-121.241404071595,-33.985650132495536,12.955369134962712,12.515733995745789,1947-01-01
86,1948-01-01,1948.0,-65.2,4.387522,5.4108086,45.138458481962985,-110.33845848196299,-65.2,-78.09255062131828,-62.94617560179,-75.75071643733946,-81.19170544524451,-70.30972742943442,-119.37000418121103,-32.131428693467896,13.225012888412778,13.01652084093651,1948-01-01
87,1949-01-01,1949.0,-53.2,8.470212,1.8927959,45.138458481962985,-98.33845848196299,-53.2,-46.392304322944454,-62.25516904941166,-73.88790577263366,-79.26275331824569,-68.51305822702163,-117.49899252860769,-30.276819016659637,12.001879231595263,12.048063880047337,1949-01-01
88,1950-01-01,1950.0,-47.6,5.701431,2.4221733,45.138458481962985,-92.738458481963,-47.6,-67.5799652227588,-62.918878318398036,-72.02509510792785,-77.33617985917512,-66.71401035668059,-115.62836933284646,-28.42182088300924,9.424029753413024,9.719677991349457,1950-01-01
89,1951-01-01,1951.0,-60.8,3.2752788,4.516599,45.138458481962985,-105.93845848196298,-60.8,-87.97684273722723,-64.64632785352134,-70.16228444322206,-75.41207174112495,-64.91249714531918,-113.75813480276597,-26.566434083678168,5.782440009093849,6.294180450437307,1951-01-01
90,1952-01-01,1952.0,-41.4,5.917683,-0.6884091,45.138458481962985,-86.53845848196298,-41.4,-68.8946989408864,-67.02647208880376,-68.29947377851626,-73.49051629938288,-63.10843125764964,-111.88828913695386,-24.71065842007865,1.4881555646155729,2.1582253491553716,1952-01-01
91,1953-01-01,1953.0,-82.4,5.0347652,1.0267215,45.138458481962985,-127.53845848196299,-82.4,-78.59966885157877,-69.57459234260244,-66.43666311381045,-71.57160114416676,-61.301725083454144,-110.01883252372075,-22.85449370390016,-2.9741048983789766,-2.2213401043182532,1953-01-01
92,1954-01-01,1954.0,-50.8,10.093402,3.14278,45.138458481962985,-95.93845848196298,-50.8,-44.91726613820735,-71.78700958835674,-64.57385244910465,-69.65541372883801,-59.492291169371285,-108.14976514107482,-20.997939757134482,-7.100662353329122,-6.350171108137547,1954-01-01
93,1955-01-01,1955.0,-44.4,4.944992,-1.8953387,45.138458481962985,-89.53845848196298,-44.4,-81.38384535106051,-73.19793738011779,-62.711041784398844,-67.74204087460973,-57.680042694187954,-106.28108715669819,-19.140996412099497,-10.425730354286053,-9.762224588823607,1955-01-01
94,1956-01-01,1956.0,-104.6,3.6171985,0.18946528,45.138458481962985,-149.738458481963,-104.6,-92.04762972326787,-73.43205764135047,-60.848231119693054,-65.83156825394875,-55.86489398543736,-104.41279872792455,-17.283663511461555,-12.57399082471458,-12.072363956978036,1956-01-01
95,1957-01-01,1957.0,-69.0,4.207589,0.55456275,45.138458481962985,-114.13845848196299,-69.0,-86.5900195189652,-72.24688480862392,-58.98542045498725,-63.92407983618902,-54.046761073785476,-102.54490000171799,-15.425940908256507,-13.30295820118389,-13.019831518642583,1957-01-01
96,1958-01-01,1958.0,-54.8,4.355206,0.36970612,45.138458481962985,-99.93845848196298,-54.8,-82.62464880471148,-69.56013646440124,-57.122609790281444,-62.019657300296466,-52.22556228026642,-100.67739111465346,-13.567828465909422,-12.53035006615708,-12.497681580459671,1958-01-01
97,1959-01-01,1959.0,-99.2,1.0946395,2.77509,45.138458481962985,-144.338458481963,-99.2,-103.1981880152653,-65.45902099030658,-55.25979912557564,-60.118379421206036,-50.40121882994524,-98.81027219289845,-11.709326058252827,-10.343374801258289,-10.564851977807518,1959-01-01
98,1960-01-01,1960.0,-62.8,0.7090475,1.9344361,45.138458481962985,-107.93845848196298,-62.8,-100.33021285574286,-60.19039389414179,-53.39698846086985,-58.22032143763634,-48.573655484103355,-96.94354335219603,-9.850433569543668,-6.9888879142893625,-7.439511448446952,1960-01-01
99,1961-01-01,1961.0,-1.8,5.7542934,1.3151058,45.138458481962985,-46.93845848196298,-1.8,-57.374715520977524,-54.13289391827764,-51.534177796164045,-56.32555441070499,-46.7428011816231,-95.07720469784937,-7.991150894478729,-2.84552814762107,-3.4744337689321476,1961-01-01
100,1962-01-01,1962.0,-50.8,5.877581,0.13498433,45.138458481962985,-95.93845848196298,-50.8,-49.67920791655351,-47.75420407478235,-49.67136713145824,-54.43414458394414,-44.90858967897234,-93.21125632470756,-6.131477938208917,1.6190214866783488,0.8828216942638321,1962-01-01
101,1963-01-01,1963.0,-110.6,0.2810497,1.9679369,45.138458481962985,-155.738458481963,-110.6,-85.12412204257988,-41.55826178113398,-47.808556466752435,-52.54615275636787,-43.070960177137,-91.345698317153,-4.271414616351883,5.900823571130861,5.140428386331144,1963-01-01
102,1964-01-01,1964.0,-89.0,0.65730476,-0.2056845,45.138458481962985,-134.13845848196297,-89.0,-76.10702176563588,-36.02837676873608,-45.945745802046645,-50.66163368099153,-41.22985792310176,-89.48053074908987,-2.410960855003431,9.516568374332895,8.817807638247022,1964-01-01
103,1965-01-01,1965.0,-26.2,5.784757,-1.8158886,45.138458481962985,-71.33845848196299,-26.2,-33.920926073753144,-31.572677347863607,-44.08293513734084,-48.780635501573556,-39.385234773108124,-87.61575368393432,-0.5501165907473577,12.058127586009503,11.49987413232105,1965-01-01
104,1966-01-01,1966.0,3.2,7.028076,0.6606671,45.138458481962985,-41.93845848196298,3.2,-23.139430210273215,-28.478042798715414,-42.220124472635035,-46.90319924028253,-37.53704970498754,-85.75136717460597,1.3111182293359036,13.238621925961837,12.883888785501204,1966-01-01
105,1967-01-01,1967.0,21.6,12.765246,3.800848,45.138458481962985,-23.538458481962984,21.6,18.520246345898205,-26.87772178414713,-40.35731380792923,-45.02935834844602,-35.685269267412444,-83.88737126352069,3.17274364766223,12.924802731334255,12.81363051678144,1967-01-01
106,1968-01-01,1968.0,-42.6,3.7755845,0.19227672,45.138458481962985,-87.738458481963,-42.6,-45.25894064733236,-26.736291865738387,-38.49450314322344,-43.15913833149918,-33.8298679549477,-82.02376598258499,5.034759696138103,11.152092440547133,11.297029749921219,1968-01-01
107,1969-01-01,1969.0,-54.0,1.925209,0.5998935,45.138458481962985,-99.13845848196299,-54.0,-60.15142856886389,-27.853657822458864,-36.631692478517635,-41.2925564577343,-31.97082849930097,-80.16055135319158,6.897166396156315,8.120586274630796,8.505273264416758,1969-01-01
108,1970-01-01,1970.0,-24.2,8.131738,1.78897,45.138458481962985,-69.33845848196299,-24.2,-17.70195280653345,-29.887637460480086,-34.76888181381183,-39.42962155850366,-30.10814206912,-78.2977273862167,8.759963758593045,4.1724664274137115,4.753481434946896,1970-01-01
109,1971-01-01,1971.0,-77.4,2.8745146,1.1014508,45.138458481962985,-122.53845848196299,-77.4,-58.12210109137594,-32.392585533881835,-32.906071149106026,-37.5703339252232,-28.241808372988853,-76.4352940820185,10.623151783806449,-0.24662185518390256,0.4651389218529607,1971-01-01
110,1972-01-01,1972.0,-94.6,2.5584815,3.7007034,45.138458481962985,-139.738458481963,-94.6,-64.0055866335691,-34.8696960892862,-31.043260484400225,-35.71468530596442,-26.37183566283603,-74.57325143043704,12.486730461636594,-4.637872619784134,-3.8757062905605872,1972-01-01
111,1973-01-01,1973.0,-31.6,9.520682,-0.97213364,45.138458481962985,-76.738458481963,-31.6,-13.203576033506586,-36.82330534174831,-29.180449819694434,-33.86265900172714,-24.498240637661727,-72.71159941079567,14.350699771406799,-8.5056220814421,-7.7790799596042275,1973-01-01
112,1974-01-01,1974.0,-27.0,11.503461,2.554668,45.138458481962985,-72.13845848196299,-27.0,-1.2231092075602545,-37.81683987741565,-27.31763915498863,-32.01423005978631,-22.621048250190952,-70.85033799190373,16.215059681926473,-11.41329682630531,-10.804387578025201,1974-01-01
