# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and tide [mm relative to NAP(2005)]
# predicted_linear -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind_last_tide  -> fitted sea surface height based on linear model with wind and nodal tide at epoch   [mm relative to NAP(2005)]
year,height,u2,v2,predicted_linear_with_wind,predicted_linear,predicted_linear_mean_wind_last_tide,date
1923,-104.0,3.3482018,0.66977715,-117.2230258360417,-121.52149475867644,-61.938620598174275,1923-01-01
1924,-130.0,3.3482018,0.66977715,-111.82504283523747,-115.43523953157079,-60.08208769633084,1924-01-01
1925,-75.16666666666667,3.3482018,0.66977715,-106.25410401560822,-109.02390561488997,-58.225554794487415,1925-01-01
1926,-93.0,3.3482018,0.66977715,-100.92947409117872,-102.79387106185771,-56.36902189264398,1926-01-01
1927,-92.16666666666667,3.3482018,0.66977715,-96.24261558343125,-97.23104970408738,-54.51248899080054,1927-01-01
1928,-79.33333333333333,3.3482018,0.66977715,-92.51300236840993,-92.7460434779129,-52.655956088957105,1928-01-01
1929,-131.83333333333334,3.3482018,0.66977715,-89.95205896439096,-89.62779560413685,-50.79942318711367,1929-01-01
1930,-83.33333333333333,3.3482018,0.66977715,-88.63929592414847,-88.01097603283081,-48.94289028527023,1930-01-01
1931,-74.83333333333333,3.3482018,0.66977715,-88.51333505677779,-87.8607805311695,-47.086357383426794,1931-01-01
1932,-90.0,3.3482018,0.66977715,-89.37883750993151,-88.97685922194964,-45.22982448158337,1932-01-01
1933,-135.66666666666666,3.3482018,0.66977715,-90.92855270304878,-91.01593113779579,-43.373291579739934,1933-01-01
1934,-121.0,3.3482018,0.66977715,-92.7779993314362,-93.5305321662699,-41.5167586778965,1934-01-01
1935,-73.66666666666667,3.3482018,0.66977715,-94.50886381216412,-96.01952269962467,-39.66022577605306,1935-01-01
1936,-59.333333333333336,3.3482018,0.66977715,-95.71621755880764,-97.9846539226515,-37.803692874209624,1936-01-01
1937,-74.83333333333333,3.3482018,0.66977715,-96.05422342057742,-98.98680780142817,-35.94715997236619,1937-01-01
1938,-61.166666666666664,3.3482018,0.66977715,-95.27517215742053,-98.69556266688487,-34.09062707052275,1938-01-01
1939,-96.83333333333333,3.3482018,0.66977715,-93.25744269692058,-96.92648966264973,-32.23409416867933,1939-01-01
1940,-89.5,3.3482018,0.66977715,-90.01923015037204,-93.66197020911616,-30.377561266835887,1940-01-01
1941,-125.0,3.3482018,0.66977715,-85.71649203397885,-89.05318470605195,-28.52102836499245,1941-01-01
1942,-109.5,3.3482018,0.66977715,-80.62534451609338,-83.40304799832984,-26.664495463149013,1942-01-01
1943,-59.333333333333336,3.3482018,0.66977715,-75.11089571951973,-77.13201776935023,-24.807962561305583,1943-01-01
1944,-49.333333333333336,3.3482018,0.66977715,-69.58603402950075,-70.73063525029784,-22.951429659462153,1944-01-01
1945,-57.666666666666664,3.3482018,0.66977715,-64.46482318983965,-64.70415522731872,-21.094896757618717,1945-01-01
1946,-68.5,3.3482018,0.66977715,-60.115764730061876,-59.51551525164109,-19.23836385577528,1946-01-01
1947,-129.16666666666666,3.3482018,0.66977715,-56.82020324157109,-55.53308142064405,-17.381830953931843,1947-01-01
1948,-56.0,2.858907,2.7578495,-56.766058743666875,-52.98906894095923,-15.525298052088415,1948-01-01
1949,-42.166666666666664,5.30343,0.3216679,-33.14165204693525,-51.953330765373686,-13.668765150244978,1949-01-01
1950,-43.166666666666664,3.816473,1.2771947,-48.123371114793876,-52.325472919231515,-11.812232248401541,1950-01-01
1951,-58.5,1.5250142,1.7796396,-73.47601733235881,-53.846186501298966,-9.955699346558111,1951-01-01
1952,-34.166666666666664,3.4400053,-0.038776614,-57.197566289123344,-56.12651725599917,-8.099166444714674,1952-01-01
1953,-73.16666666666667,2.9387922,0.068978846,-64.34354576987563,-58.69176890501962,-6.242633542871238,1953-01-01
1954,-45.5,4.9915295,1.3730128,-41.477113185554785,-61.03508463619107,-4.386100641027801,1954-01-01
1955,-36.333333333333336,1.7126894,-0.22835702,-80.66033689578052,-62.674658722548195,-2.5295677391843716,1955-01-01
1956,-93.83333333333333,1.9961172,0.000106403706,-77.1377288530708,-63.208120492418864,-0.6730348373409346,1956-01-01
1957,-60.833333333333336,2.2547548,0.1852093,-72.77384963960841,-62.357952043137786,1.1834980645025024,1957-01-01
