# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
index,year,height,u2,v2,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,date
45,1907,-162.66666666666666,3.3570893,0.71686864,-137.29637692510374,-140.8699004204027,-142.04678968862407,-149.3004216467961,-134.79315773045204,-188.58363675860255,-95.5099426186456,1907-01-01
46,1908,-169.83333333333334,3.3570893,0.71686864,-132.2714635498939,-134.86153933032173,-140.17845153277574,-147.3423353866204,-133.0145676789311,-186.70139415790777,-93.6555089076437,1908-01-01
47,1909,-119.5,3.3570893,0.71686864,-128.13905388289936,-129.85031163248468,-138.31011337692746,-145.3846839978584,-131.23554275599653,-184.81938673289906,-91.80084002095586,1909-01-01
48,1910,-110.33333333333333,3.3570893,0.71686864,-125.15470569450464,-126.18309778708517,-136.44177522107918,-143.42748416019933,-129.45606628195904,-182.93761469099363,-89.94593575116474,1910-01-01
49,1911,-132.33333333333334,3.3570893,0.71686864,-123.44438896147075,-124.05507227603678,-134.57343706523085,-141.47075332636234,-127.67612080409936,-181.0560782362747,-88.09079589418701,1911-01-01
50,1912,-70.16666666666667,3.3570893,0.71686864,-122.99026696694106,-123.48767322310704,-132.70509890938257,-139.5145097607291,-125.89568805803603,-179.17477756947648,-86.23542024928867,1912-01-01
51,1913,-98.83333333333333,3.3570893,0.71686864,-123.63270962535996,-124.32618255908262,-130.8367607535343,-137.55877257970693,-124.11474892736166,-177.29371288796898,-84.3798086190996,1913-01-01
52,1914,-86.5,3.3570893,0.71686864,-125.08831177763263,-126.257189871569,-128.96842259768596,-135.60356179384263,-122.33328340152927,-175.41288438574338,-82.52396080962855,1914-01-01
53,1915,-124.33333333333333,3.3570893,0.71686864,-126.98188263590062,-128.84396870199012,-127.1000844418377,-133.64889835169544,-120.55127053197995,-173.5322922533977,-80.66787663027766,1915-01-01
54,1916,-73.33333333333333,3.3570893,0.71686864,-128.8887955594842,-131.57577217934943,-125.23174628598939,-131.69480418546075,-118.76868838651804,-171.6519366781223,-78.81155589385648,1916-01-01
