# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and tide [mm relative to NAP(2005)]
# predicted_linear -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and 0 nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
index,year,height,u2,v2,predicted_linear_with_wind,predicted_linear,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,date
54,1916,-73.33333333333333,3.3162873,0.6683467,-128.44223901232274,-130.30094681528846,-125.1638654877026,-131.6318126302433,-118.69591834516189,-171.72500185063137,-78.60272912477383,1916-01-01
55,1917,-127.83333333333333,3.3162873,0.6683467,-129.8962319661143,-132.56032668587687,-123.31229705627695,-129.69374631419487,-116.93084779835903,-169.8614965531526,-76.7630975594013,1917-01-01
56,1918,-131.5,3.3162873,0.6683467,-130.6070612355295,-134.06544272035106,-121.46072862485127,-127.75633900610504,-115.1651182435975,-167.99823811172752,-74.92321913797502,1918-01-01
57,1919,-153.66666666666666,3.3162873,0.6683467,-130.28549538947553,-134.43030130859012,-119.6091601934256,-125.8196180317985,-113.39870235505269,-166.13522671242924,-73.08309367442193,1919-01-01
58,1920,-149.16666666666666,3.3162873,0.6683467,-128.75883491405662,-133.39761575153554,-117.75759176199992,-123.88361201175042,-111.63157151224942,-164.27246253757986,-71.24272098641998,1920-01-01
59,1921,-119.33333333333333,3.3162873,0.6683467,-125.9904057234904,-130.86784757673163,-115.90602333057427,-121.94835091909403,-109.86369574205452,-162.40994576573596,-69.40210089541259,1921-01-01
60,1922,-126.33333333333333,3.3162873,0.6683467,-122.083698758856,-126.91044197411586,-114.0544548991486,-120.01386613870147,-108.09504365959572,-160.54767657167474,-67.56123322662245,1922-01-01
61,1923,-104.0,3.3162873,0.6683467,-117.27068841618842,-121.75598914877779,-112.20288646772295,-118.08019052704466,-106.32558240840123,-158.68565512638037,-65.72011780906551,1923-01-01
62,1924,-130.0,3.3162873,0.6683467,-111.88564836495189,-115.7701963804125,-110.35131803629727,-116.14735847247596,-104.55527760011859,-156.82388159703024,-63.878754475564314,1924-01-01
63,1925,-75.16666666666667,3.3162873,0.6683467,-106.32742030446124,-109.41260870128869,-108.4997496048716,-114.21540595549358,-102.78409325424961,-154.9623561469819,-62.03714306276129,1925-01-01
64,1926,-93.0,3.3162873,0.6683467,-101.01439458401185,-103.18473760894159,-106.64818117344592,-112.28437060847034,-101.0119917384215,-153.10107893576026,-60.19528341113159,1926-01-01
65,1927,-92.16666666666667,3.3162873,0.6683467,-96.33728426311151,-97.57345280115099,-104.79661274202024,-110.35429177422826,-99.23893370981223,-151.2400501190447,-58.3531753649958,1927-01-01
66,1928,-79.33333333333333,3.3162873,0.6683467,-92.61502325433639,-92.99602660858369,-102.9450443105946,-108.42521056273482,-97.46487805845437,-149.37926984865695,-56.51081877253224,1928-01-01
67,1929,-131.83333333333334,3.3162873,0.6683467,-90.05876655954432,-89.75303425172318,-101.09347587916895,-106.49716990507723,-95.68978185326067,-147.51873827254894,-54.668213485788954,1929-01-01
68,1930,-83.33333333333333,3.3162873,0.6683467,-88.74805608388957,-87.99442632011703,-99.24190744774327,-104.57021460374183,-93.91360029174471,-145.65845553479096,-52.82535936069557,1930-01-01
69,1931,-74.83333333333333,3.3162873,0.6683467,-88.62184231873643,-87.70260305331553,-97.3903390163176,-102.64439137808394,-92.13628665455126,-143.7984217755604,-50.9822562570748,1931-01-01
70,1932,-90.0,3.3162873,0.6683467,-89.48537532378293,-88.69440091926256,-95.53877058489192,-100.71974890372204,-90.35779226606181,-141.93863713113032,-49.138904038653514,1932-01-01
71,1933,-135.66666666666666,3.3162873,0.6683467,-91.03218718666113,-90.64176725449055,-93.68720215346625,-98.79633784443016,-88.57806646250233,-140.0791017338588,-47.295302573073684,1933-01-01
72,1934,-121.0,3.3162873,0.6683467,-92.87868468310435,-93.10878930972765,-91.8356337220406,-96.87421087493436,-86.79705656914683,-138.21981571217825,-45.45145173190295,1934-01-01
73,1935,-73.66666666666667,3.3162873,0.6683467,-94.60744748049117,-95.60089803596965,-89.98406529061494,-94.95342269284846,-85.01470788838141,-136.36077919058505,-43.60735139064484,1935-01-01
74,1936,-59.333333333333336,3.3162873,0.6683467,-95.81434458668252,-97.6206927184824,-88.13249685918926,-93.03403001781336,-83.23096370056516,-134.5019922896297,-41.76300142874881,1936-01-01
75,1937,-74.83333333333333,3.3162873,0.6683467,-96.15415076045107,-98.72408523594704,-86.2809284277636,-91.11609157573889,-81.4457652797883,-132.64345512590728,-39.91840172961993,1937-01-01
76,1938,-61.166666666666664,3.3162873,0.6683467,-95.37951391710178,-98.57042664417408,-84.42935999633792,-89.19966806589417,-79.65905192678167,-130.7851678120477,-38.07355218062815,1938-01-01
77,1939,-96.83333333333333,3.3162873,0.6683467,-93.36887507135052,-96.96095803078387,-82.57779156491226,-87.28482210846059,-77.87076102136393,-128.92713045670706,-36.228452673117445,1939-01-01
78,1940,-89.5,3.3162873,0.6683467,-90.14018934529449,-93.86124548876711,-80.7262231334866,-85.37161817005868,-76.08082809691452,-127.06934316455869,-34.383103102414516,1940-01-01
79,1941,-125.0,3.3162873,0.6683467,-85.84889927846523,-89.40506685436286,-78.87465470206092,-83.46012246470069,-74.28918693942116,-125.21180603628468,-32.53750336783716,1941-01-01
80,1942,-109.5,3.3162873,0.6683467,-80.77038920321847,-83.87931149251682,-77.02308627063526,-81.55040282761432,-72.4957697136562,-123.35451916856798,-30.69165337270254,1942-01-01
81,1943,-59.333333333333336,3.3162873,0.6683467,-75.2689011532515,-77.69159757129539,-75.1715178392096,-79.6425285594465,-70.7005071189727,-121.49748265408442,-28.845553024334784,1943-01-01
82,1944,-49.333333333333336,3.3162873,0.6683467,-69.75642093166512,-71.3242620353972,-73.31994940778392,-77.73657023850262,-68.90332857706522,-119.64069658149523,-26.999202234072612,1944-01-01
83,1945,-57.666666666666664,3.3162873,0.6683467,-64.64617508632314,-65.27991667469857,-71.46838097635826,-75.83259949892235,-67.10416245379417,-117.78416103544004,-25.15260091727648,1945-01-01
84,1946,-68.5,3.3162873,0.6683467,-60.30598783576423,-60.0247156633938,-69.6168125449326,-73.93068877305193,-65.30293631681327,-115.92787609652984,-23.30574899333535,1946-01-01
85,1947,-129.16666666666666,3.3162873,0.6683467,-57.01676279704449,-55.935738263754175,-67.76524411350692,-72.03091099675775,-63.4995772302561,-114.07184184134059,-21.45864638567327,1947-01-01
86,1948,-56.0,2.858907,2.7578495,-56.576991684519164,-53.25842588805389,-65.91367568208126,-70.13333927704721,-61.69401208711532,-112.21605834240694,-19.611293021755593,1948-01-01
87,1949,-42.166666666666664,5.30343,0.3216679,-32.94818975126184,-52.078877823430346,-64.0621072506556,-68.23804652212344,-59.88616797918776,-110.36052566821641,-17.763688833094797,1949-01-01
88,1950,-43.166666666666664,3.816473,1.2771947,-47.94519843541084,-52.31413274828312,-62.210538819229924,-66.34510503490263,-58.075972603557226,-108.5052438832038,-15.915833755256052,1950-01-01
89,1951,-58.5,1.5250142,1.7796396,-73.34436826416145,-53.72153301704682,-60.35897038780426,-64.4545860720531,-56.26335470355542,-106.650213047746,-14.067727727862511,1951-01-01
90,1952,-34.166666666666664,3.4400053,-0.038776614,-57.056364719086524,-55.92611471680458,-58.5074019563786,-62.56655937175885,-54.44824454099835,-104.79543321815709,-12.219370694600109,1952-01-01
91,1953,-73.16666666666667,2.9387922,0.068978846,-64.21038091948148,-58.462931834651144,-56.655833524952925,-60.6810926546359,-52.63057439526995,-102.94090444668365,-10.37076260322221,1953-01-01
92,1954,-45.5,4.9915295,1.3730128,-41.255408815826684,-60.829537182355566,-54.80426509352726,-58.79825110349826,-50.81027908355627,-101.08662678150068,-8.521903405553843,1954-01-01
93,1955,-36.333333333333336,1.7126894,-0.22835702,-80.56609448219825,-62.54269627775932,-52.9526966621016,-56.9180968289297,-48.987296495273505,-99.23260026670764,-6.672793057495568,1955-01-01
94,1956,-93.83333333333333,1.9961172,0.000106403706,-77.0330705325123,-63.19293258604874,-51.101128230675926,-55.04068832880933,-47.16156813254252,-97.37882494232474,-4.8234315190271175,1956-01-01
95,1957,-60.833333333333336,2.2547548,0.1852093,-72.66317918976928,-62.49074730996332,-49.249559799250264,-53.16607995099437,-45.333039647506155,-95.52530084428987,-2.9738187542106544,1957-01-01
96,1958,-50.666666666666664,2.2449813,0.16877215,-70.30450762870917,-60.29929665585935,-47.39799136782459,-51.29432136921293,-43.501661366436245,-93.67202800445556,-1.1239547311936207,1958-01-01
97,1959,-93.16666666666667,0.14023231,0.20452765,-89.5794387228104,-56.649838119139694,-45.546422936398926,-49.42545708279521,-41.66738879000264,-91.81900645058641,0.7261605777885549,1959-01-01
98,1960,-54.833333333333336,0.39210004,0.10180432,-82.35831902049341,-51.73820228481593,-43.69485450497325,-47.55952595111019,-39.83018305883631,-89.9662362063568,2.5765271964103036,1960-01-01
99,1961,12.833333333333334,3.1401722,0.21283843,-46.86336724157723,-45.90268838980288,-41.84328607354759,-45.69656077342979,-37.99001137366539,-88.11371729134908,4.427145144253906,1961-01-01
100,1962,-39.666666666666664,3.64171,-0.080028,-36.29863144446761,-39.585878692172045,-39.99171764212193,-43.836587924382,-36.14684735986185,-86.2614497210518,6.278014436807958,1962-01-01
101,1963,-97.0,0.13734382,0.23429385,-68.67973113544716,-33.28468186221592,-38.14014921069625,-41.97962705417306,-34.300671367219444,-84.40943350685859,8.129135085466096,1963-01-01
102,1964,-76.5,0.996338,-0.014845498,-54.84264031319765,-27.49424426297098,-36.28858077927059,-40.12569086137409,-32.45147069716709,-82.5576686560672,9.980507097526015,1964-01-01
103,1965,-21.833333333333332,2.9756749,-0.057570625,-29.322934950843432,-22.652060151715887,-34.43701234784493,-38.274784944325816,-30.59923975136404,-80.7061551718788,11.832130476188958,1965-01-01
104,1966,7.666666666666667,2.8802073,0.040577337,-27.376497857997542,-19.088589380695268,-32.58544391641925,-36.426907735187726,-28.743980097650777,-78.85489305339789,13.684005220559392,1966-01-01
105,1967,35.166666666666664,9.196815,1.3286175,45.3070602300534,-16.98995663933645,-30.73387548499359,-34.58205051843518,-26.885700451551998,-77.00388229563227,15.536131325645087,1967-01-01
106,1968,-29.333333333333332,0.853368,0.012949069,-47.594274165911486,-16.37694257250286,-28.882307053567928,-32.74019753329742,-25.02441657383844,-75.15312288949343,17.38850878235757,1968-01-01
107,1969,-43.0,0.55541885,-0.009784522,-51.549573616983395,-17.102638158793326,-27.030738622142252,-30.9013261573441,-23.160151086940402,-73.30261482179733,19.24113757751283,1969-01-01
108,1970,-9.833333333333334,4.2492,0.08066217,-12.467119684549765,-18.869027111660508,-25.17917019071659,-29.06540716627801,-21.29293321515517,-71.45235807526552,21.09401769383235,1970-01-01
109,1971,-60.166666666666664,1.1129643,-0.005539008,-48.68925041079129,-21.260624559705853,-23.32760175929092,-27.23240506307844,-19.422798455503404,-69.60235262852646,22.947149109944625,1971-01-01
110,1972,-88.33333333333333,0.33752108,0.5689417,-58.03003440440877,-23.791375029733732,-21.47603332786526,-25.402278468047843,-17.549788187682676,-67.75259845611731,24.800531800386786,1972-01-01
111,1973,-20.5,5.2323146,-0.33183584,-7.353099287758582,-25.959516108257507,-19.62446489643959,-23.57498056010087,-15.673949232778313,-65.90309552848595,26.65416573560676,1973-01-01
112,1974,-16.666666666666668,4.475806,0.34382138,-15.093713938383097,-27.304215028737254,-17.772896465013922,-21.750459558837473,-13.79533337119037,-64.05384381199346,28.508050881965623,1974-01-01
113,1975,-52.0,1.3508413,-0.021781223,-49.32004944558698,-27.45758531228973,-15.921328033588253,-19.92865923656481,-11.913996830611698,-62.20484326891687,30.362187201740362,1975-01-01
114,1976,-75.5,0.50272703,-0.014485825,-56.847583487751926,-26.186212067501252,-14.069759602162591,-18.10951944946047,-10.02999975486471,-60.356093857452095,32.21657465312691,1976-01-01
115,1977,-24.166666666666668,3.4437194,0.48148364,-20.952153719474296,-23.41749876831456,-12.218191170736922,-16.2929766774623,-8.143405664011546,-58.50759553171748,34.07121319024363,1977-01-01
116,1978,-31.833333333333332,3.2926567,0.1732222,-19.027329204580518,-19.2478616093067,-10.366622739311254,-14.478964563173474,-6.2542809154490335,-56.65934824175745,35.92610276313494,1978-01-01
117,1979,-22.333333333333332,2.9034595,0.9794639,-17.053067724646503,-13.9318464979776,-8.515054307885592,-12.667414441019764,-4.36269417475142,-54.81135193354663,37.78124331777545,1979-01-01
118,1980,5.0,3.2153962,0.05390751,-9.692662775619937,-7.853397106902573,-6.663485876459923,-10.858255849019315,-2.46871590390053,-52.96360654899416,39.63663479607431,1980-01-01
119,1981,39.0,4.775985,0.022679903,12.856006617825471,-1.4825171132271961,-4.811917445034254,-9.051417016754733,-0.5724178733137757,-51.11611202594846,41.49227713587995,1981-01-01
120,1982,15.333333333333334,3.0092428,1.2455628,0.754313562515371,4.677781611407003,-2.9603490136085924,-7.246825324407315,1.32612729719013,-49.26886829820228,43.348170270985094,1982-01-01
121,1983,52.833333333333336,4.976384,0.5348254,25.647744491639834,10.148256621074886,-1.1087805821829164,-5.444407728968884,3.2268465646030515,-47.421875295498,45.204314131132165,1983-01-01
122,1984,-9.5,2.5496292,0.3237051,2.3372980146183693,14.527529534518592,0.7427878492427453,-3.644091154940585,5.129666853426076,-45.57513294353346,47.06070864201895,1984-01-01
123,1985,-6.5,3.1703155,0.7953676,12.2355623978817,17.53739174377458,2.594356280668414,-1.8458028479248343,7.034515409261663,-43.72864116396783,48.91735372530466,1985-01-01
124,1986,-13.0,3.5693567,0.817585,17.743723981966376,19.05420729663685,4.445924712094083,-0.04947069049328956,8.941320114681456,-41.88239987442803,50.7742492986162,1986-01-01
125,1987,-20.5,1.8130171,0.13053775,-2.602057250596644,19.122868342909285,6.297493143519745,1.744976519446232,10.850009767593257,-40.03640898851541,52.6313952755549,1987-01-01
126,1988,55.833333333333336,7.3239822,0.3801851,57.01939738589494,17.95172791914534,8.149061574945414,3.537608826860918,12.76051432302991,-38.19066841581265,54.48879156570348,1988-01-01
127,1989,17.833333333333332,3.806406,0.5001768,17.154584949799258,15.889082035361124,10.000630006371082,5.3284949128988615,14.672765099843303,-36.345178061891154,56.34643807463332,1989-01-01
128,1990,54.333333333333336,8.797221,1.2276878,71.00204548136739,13.38385565544052,11.852198437796744,7.117701921377959,16.58669495421553,-34.49993782831863,58.20433470391212,1990-01-01
129,1991,-48.0,2.5177867,0.22128223,-0.9013958656675527,10.93493015332404,13.703766869222413,8.905295316238394,18.502238422206432,-32.654947612667,60.06248135111183,1991-01-01
130,1992,-2.6666666666666665,4.6363235,0.46046934,21.543494914830944,9.03483192399878,15.555335300648082,10.691338767538664,20.4193318337575,-30.81020730852071,61.92087790981687,1992-01-01
131,1993,-5.166666666666667,2.31702,0.08018711,-4.584635155958736,8.11413831469855,17.40690373207375,12.4758940634671,22.3379134006804,-28.965716805485243,63.779524269632745,1993-01-01
132,1994,35.333333333333336,4.919285,1.2199252,26.651996983161354,8.492876073983261,19.258472163499412,14.259021045809348,24.257923281189477,-27.121475989196043,65.63842031619487,1994-01-01
133,1995,39.833333333333336,3.7871656,0.04719175,14.606743284050197,10.34439823375303,21.11004059492508,16.040777566343813,26.17930362350635,-25.277484741327626,67.49756593117779,1995-01-01
134,1996,-74.0,0.040142,0.014256987,-22.97509240331382,13.67581683228559,22.96160902635075,17.821219461716794,28.101998590984707,-23.433742939603164,69.35696099230466,1996-01-01
135,1997,-16.666666666666668,1.2264534,0.7445224,-4.3984579068578675,18.327200140721306,24.813177457776412,19.60040054446593,30.025954371086893,-21.59025045780423,71.21660537335705,1997-01-01
136,1998,64.33333333333333,7.4432936,1.7884872,70.38342711355568,23.989625006304102,26.66474588920208,21.37837260800294,31.95111917040122,-19.7470071657809,73.07649894418506,1998-01-01
137,1999,58.666666666666664,5.2715096,1.1653932,51.182334818001856,30.240046648564896,28.51631432062775,23.155185443525667,33.87744319772983,-17.904012929462205,74.93664157071771,1999-01-01
138,2000,54.0,5.5184684,3.2992122,62.788490217630965,36.58904996944463,30.36788275205342,24.930886866998158,35.80487863710868,-16.0612676108668,76.79703311497363,2000-01-01
139,2001,61.0,3.4175305,0.1446687,39.7667137381701,42.53609243349348,32.21945118347908,26.70552275450885,37.73337961244931,-14.218771068113973,78.65767343507213,2001-01-01
140,2002,46.166666666666664,1.6989514,2.23091,28.531703591773994,47.62600296099869,34.07101961490475,28.479137084486865,39.66290214532263,-12.376523155434981,80.51856238524448,2002-01-01
141,2003,32.0,1.0597814,0.49877694,21.86258929674338,51.50035950404707,35.92258804633042,30.25177198542105,41.593404107239785,-10.534523723184634,82.37969981584547,2003-01-01
142,2004,62.833333333333336,6.299912,0.678191,81.2830469706731,53.937946045771966,37.77415647775608,32.023467787883284,43.524845167628875,-8.692772617853166,84.24108557336532,2004-01-01
143,2005,45.0,4.018306,0.046656903,55.981850165012396,54.87972242651175,39.625724909181756,33.79426307980464,45.457186738558875,-6.851269682078431,86.10271950044194,2005-01-01
144,2006,41.333333333333336,3.0318968,1.4427371,47.00147924929685,54.43548852004804,41.47729334060742,35.564194764089166,47.39039191712567,-5.010014754658414,87.96460143587325,2006-01-01
145,2007,94.83333333333333,5.71606,0.119684935,72.92027359908626,52.87149053897461,43.32886177203308,37.33329811777585,49.32442542629031,-3.1690076705639356,89.82673121463009,2007-01-01
