,t,name,psmsl_id,ddl_id,latitude,longitude,station_name,surge
3,1979-10-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',-0.066131964
0,1979-10-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',-0.10764478
4,1979-10-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',-0.07510587
5,1979-11-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.10232099
4,1979-11-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.15621828
3,1979-11-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.12768352
0,1979-11-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.16511503
1,1979-11-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.17055494
2,1979-11-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.20959571
4,1979-12-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.2365535
3,1979-12-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.20625778
2,1979-12-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.27855098
5,1979-12-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.1837019
0,1979-12-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.19731908
1,1979-12-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',0.24123195
0,1980-01-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',-0.053411957
1,1980-01-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',-0.044006564
2,1980-01-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',-0.03863048
3,1980-01-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',-0.047109805
4,1980-01-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',-0.043885548
5,1980-01-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',-0.048571162
4,1980-02-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',-0.07099942
3,1980-02-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',-0.07205311
2,1980-02-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',-0.072783835
5,1980-02-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',-0.07001289
0,1980-02-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',-0.07670908
1,1980-02-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',-0.073286675
0,1980-03-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',-0.05424489
1,1980-03-01,Den Helder,23.0,DENHDR,52.963769,4.7438009999999995,b'NWS_NO_TS_MO_DenHelder\r                                                                                                                                                                                                                                         ',-0.02747284
2,1980-03-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',-0.043634944
3,1980-03-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',-0.0049992776
4,1980-03-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',-0.01405218
5,1980-03-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.006044545
5,1980-04-01,Vlissingen,20.0,VLISSGN,51.442904,3.597324,b'NWS_NO_TS_MO_Vlissingen\r                                                                                                                                                                                                                                        ',0.03951749
4,1980-04-01,IJmuiden,32.0,IJMDBTHVN,52.461978,4.556043,b'NWS_NO_TS_MO_Ijmuiden\r                                                                                                                                                                                                                                          ',0.034002077
3,1980-04-01,Hoek van Holland,22.0,HOEKVHLD,51.977536,4.119752,b'NWS_NO_TS_MO_HoekVanHolland\r                                                                                                                                                                                                                                    ',0.03935389
2,1980-04-01,Harlingen,25.0,HARLGN,53.175689,5.4112729999999996,b'NWS_NO_TS_MO_Harlingen\r                                                                                                                                                                                                                                         ',0.034919824
0,1980-04-01,Delfzijl,24.0,DELFZL,53.326526,6.933405,b'NWS_NO_TS_MO_Delfzijl\r                                                                                                                                                                                                                                          ',0.0731066
